graph6	diameter	girth	triangles	claw	inertia	degrees
I?rFf_{N?	2	4	0	1	3,5,2	4,4,4,4,4,4,4,4,4,4
I?B@xzw}?	2	4	0	1	3,5,2	5,5,4,4,4,4,4,4,3,3
I?B@~bw}?	3	4	0	1	4,3,3	5,5,4,4,4,4,4,4,3,3
I?B@|rw}?	3	4	0	1	4,3,3	5,5,4,4,4,4,4,4,3,3
I?AFfp{^?	3	4	0	1	4,3,3	5,5,5,4,4,4,4,3,3,3
I?AFfrw^?	3	4	0	1	4,3,3	5,5,5,4,4,4,4,4,3,2
I?bFf_{^?	2	3	1	1	4,3,3	5,4,4,4,4,4,4,4,4,3
I?bF`xw}?	2	3	1	1	5,1,4	5,4,4,4,4,4,4,4,4,3
I?B@nrw}?	3	4	0	1	3,4,3	5,5,5,4,4,4,4,3,3,3
I?BF@~w}?	2	3	1	1	4,3,3	5,5,5,4,4,4,4,3,3,3
I?AFbx{^?	3	4	0	1	3,4,3	5,5,5,4,4,4,4,4,3,2
I?bFf_{}?	2	3	1	1	4,3,3	5,5,4,4,4,4,4,4,3,3
I?ABvrw^?	3	4	0	1	3,4,3	5,5,5,4,4,4,4,4,3,2
I?B@xzwn?	2	3	1	1	4,3,3	5,5,5,4,4,4,4,4,3,2
I?B@~a{}?	3	3	1	1	5,1,4	5,5,4,4,4,4,4,4,3,3
I?bFbpw^?	2	3	1	1	4,3,3	5,5,4,4,4,4,4,4,3,3
I?BDhzw}?	3	3	1	1	4,3,3	5,5,4,4,4,4,4,4,3,3
I?B@lzw}?	3	3	1	1	4,2,4	5,5,5,4,4,4,4,3,3,3
I?bfBRwFo	2	3	2	1	5,2,3	5,5,4,4,4,4,4,4,4,2
I?B@|p{}?	3	3	1	1	4,3,3	5,5,4,4,4,4,4,4,3,3
I?bef`wN_	2	3	2	1	6,0,4	5,4,4,4,4,4,4,4,4,3
I?bF`xwlG	2	3	3	1	6,1,3	5,5,4,4,4,4,4,4,3,3
I?q`vbo^?	2	3	2	1	5,1,4	5,5,4,4,4,4,4,4,3,3
I?`ff`wFo	3	3	2	1	5,2,3	5,5,5,4,4,4,4,3,3,3
I?B@|q{}?	3	3	1	1	4,2,4	5,5,4,4,4,4,4,4,4,2
I?bFF`{N_	2	3	2	1	5,1,4	5,5,4,4,4,4,4,4,3,3
I?bF`xwN_	2	3	2	1	5,1,4	5,5,4,4,4,4,4,4,3,3
I??FC~{~?	2	3	1	1	3,4,3	6,6,5,4,4,3,3,3,3,3
I?B@xzwwo	2	3	2	1	4,3,3	5,5,5,5,4,4,3,3,3,3
I?bFdhw^?	2	3	2	1	5,1,4	5,4,4,4,4,4,4,4,4,3
I?q`vboBw	3	3	1	1	4,2,4	5,5,5,4,4,4,4,3,3,3
I?B@xzw{_	2	3	2	1	4,3,3	5,5,5,4,4,4,4,3,3,3
I?q`qzot_	2	3	3	1	6,0,4	5,4,4,4,4,4,4,4,4,3
I??FfZw~?	3	4	0	1	4,2,4	6,5,5,4,4,4,4,3,3,2
I?BeurW}?	3	4	0	1	3,4,3	5,5,5,4,4,4,4,4,3,2
I?Beuqw}?	3	4	0	1	4,2,4	5,5,4,4,4,4,4,4,3,3
I?Betpw}?	3	4	0	1	4,2,4	5,4,4,4,4,4,4,4,4,3
I?BDrrw}?	3	4	0	1	3,4,3	5,5,4,4,4,4,4,4,4,2
I?BFfRw}?	3	4	0	1	4,2,4	5,5,5,5,4,4,4,3,3,2
I?BvUqw]?	3	4	0	1	5,0,5	4,4,4,4,4,4,4,4,4,4
I??Fvjk}?	3	4	0	1	3,4,3	5,5,5,5,4,4,4,3,3,2
I??FeZ{~?	3	4	0	1	3,4,3	6,6,4,4,4,4,3,3,3,3
I?B@vrw}?	4	4	0	1	2,6,2	5,5,5,4,4,4,4,4,3,2
I??Fvjkv?	3	4	0	1	4,2,4	5,5,5,5,4,4,3,3,3,3
I??FfR{~?	3	4	0	1	3,4,3	6,6,4,4,4,4,4,3,3,2
I?BfErw}?	3	4	0	1	3,4,3	5,5,5,5,4,4,3,3,3,3
I?Bffbo}?	3	4	0	1	3,4,3	5,5,5,5,4,4,4,4,3,1
I??Ffrw~?	3	4	0	1	3,4,3	6,5,5,4,4,4,4,4,3,1
I?BfFbw}?	3	4	0	1	3,4,3	5,5,5,5,5,4,3,3,3,2
I?Bffbg}?	3	4	0	1	3,4,3	5,5,5,5,4,4,4,3,3,2
