m6-b7-l2-parent-chunk-cover-certificates-v1
generated-utc	2026-09-02
scope	all-652-frozen-B7-l2-parent-chunk-leaves
base-commit	721249ac550ad173333643d4658e23325af56187
base-tree	03f893673ca672c84c6341d48f1c922a23923d44
profiles	4
parents	8119
profile-parent-incidences	32476
leaves	652
certified-leaves	652
packages	52
cover	disjoint-and-exhaustive-within-each-profile
scout-unsat	652
solver	CaDiCaL 1.7.3
solver-source-commit	38e073b389a877b0a0d3c91136d2443ab95fdeba
solver-binary-sha256	108d1042b38ceae5cb71e4a806870c4f4d4b8ffdb48a124f2e1fb7b23d3a8292
solver-command	cadical --lrat --no-binary -q --restart=false --phase=false --seed=3 CNF LRAT
checker	lrat-check
checker-source-commit	2e3b2dc0ecf938addbd779d42877b6ed69d9a985
checker-binary-sha256	e9e71c96b68dc9ed22db35d7581e613e6b161ffbc82c20cba5699f8320a065b8
compression	xz -3
compressor-binary	/usr/bin/xz
compressor-binary-sha256	b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0
compressed-limit-bytes-exclusive	90000000
total-cnf-bytes	7031326622
total-lrat-bytes	26487986729
total-xz-bytes	4409362076
manifest-bytes	75484
manifest-sha256	83cd1d90460c71e77a5ad7513130653720b9de9c7b8162c60813a330842d26e4
hash-ledger-bytes	67379
hash-ledger-sha256	a35042612e518390329dbbdda5df45277c155c3a4b93956c714a304443474ff4
scout-bytes	150056
scout-sha256	c4773f03e77e6c573ab8ff92a422fe20f0427ee4fab0bd4d1d4a4eb082373e47
profile-producer-bytes	13024
profile-producer-sha256	8d6ddc5ffe3b2d0b95d4723c3ea9d8c2c3e5d582d6c25f43d1df477b53beb548
producer-bytes	7450
producer-sha256	3f4e961b9dd6463af6285185b07d61acbd74bfcc4ca3ddc11b7dfcff3702bfb5
checker-bytes	7981
checker-sha256	fbba3ff6464c94fc638ab9cc0f95b53ad4f9f7c8bbf26139b1a0623744be1939
scout-producer-bytes	4933
scout-producer-sha256	a872d0ef1e1ec0df18e2cacd4dee203c127d320fa8370f39088c48f7842b48b0
finalizer-bytes	9446
finalizer-sha256	c1210fb4e91654b4a2a0cfc42e0307cd76b24096c2ca3da6215be42d84e602e8
closure-verifier-bytes	2513
closure-verifier-sha256	3051845d7b0705643d1b9b476310ad0d5131ad18a4be2738a9088570f9c80246
package-ledger-bytes	4805
package-ledger-sha256	95c4ed72e85fe4e47925f0de34d8a72485deabe83c6e9301d9473d3f67611cac
runtime-check-m6-b7-l2-parent-chunk-cover-bytes	7981
runtime-check-m6-b7-l2-parent-chunk-cover-sha256	fbba3ff6464c94fc638ab9cc0f95b53ad4f9f7c8bbf26139b1a0623744be1939
runtime-check-m6-clean-sink-group-cnf-bytes	14918
runtime-check-m6-clean-sink-group-cnf-sha256	07d2ac0802c8d9fc854e8c5e10ef0e1a67f54dda2c06c1a71bf69465390ee536
runtime-check-m6-clean-sink-manifest-bytes	8864
runtime-check-m6-clean-sink-manifest-sha256	8fb7164f71f3e6ba6c616a0709481b839e7c135ba0c7c45dd4c84f2cde42bbb0
runtime-check-m6-parent-cnf-bytes	12776
runtime-check-m6-parent-cnf-sha256	26af1932432445b0ce70e82634a9db651471e92b1528ac28de8564f3ab548b96
runtime-m6-b7-l2-parent-chunk-cover-bytes	7450
runtime-m6-b7-l2-parent-chunk-cover-sha256	3f4e961b9dd6463af6285185b07d61acbd74bfcc4ca3ddc11b7dfcff3702bfb5
runtime-m6-b7-l2-profile-root-cardinality-bytes	13024
runtime-m6-b7-l2-profile-root-cardinality-sha256	8d6ddc5ffe3b2d0b95d4723c3ea9d8c2c3e5d582d6c25f43d1df477b53beb548
runtime-m6-clean-sink-group-cnf-bytes	11550
runtime-m6-clean-sink-group-cnf-sha256	9eb6455daf71a2127f76a197012c2e0f4a7c7f42021ddfcfbe244f9f733ed817
runtime-m6-clean-sink-manifest-bytes	8200
runtime-m6-clean-sink-manifest-sha256	5d5b5545ff31eb719ce2f4eb8ad27bb0a9ccd6546bd35ad1fe6ace871ad8232f
runtime-m6-parent-cnf-bytes	10958
runtime-m6-parent-cnf-sha256	0b6c69aca85a627a676ae604b9a3c417e69a9d9cf359de05d7a56a11199f3147
runtime-m6-residual-group-cnf-bytes	16054
runtime-m6-residual-group-cnf-sha256	f15a8fe30e51b7d61d273901c0b5f140151bb1a58ec910ad0c21c84e96c535a3
runtime-snc-cnf-bytes	7969
runtime-snc-cnf-sha256	adab04953d3697ec004e28ad145dda5b0f04d07ee8dd20d95655f6e32877d68e
verifier-canonical-sha256	13bba079f4d99c73e2dd17f39bd803c5d700071147206a10aad547b6aa8a9458
columns	leaf,key,profile,chunk,start,stop,parents,variables,clauses,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,artifact
000	p00-c000	00	000	0000	0050	50	26099	159968	10784709	82cb9ebdf6febe6c2ed96fc439a1d1a8a8015b8d696077ba5ad51e3a6912636d	43092295	8f596fc036780933ee568e0e7a927c0213cebe629a6eca0e868bacaf595f3427	7388064	026de56916a3aed47d915e1483972499f307a34b155f0feb004f7f0a49f305f3	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-000.lrat.xz
001	p00-c001	00	001	0050	0100	50	26099	159968	10784711	ead228641d6cf6d68b2c25297c16f52b519abff155f58a9c7d182250276cfaf6	26457399	08f9384fe05c7e06e078e0563a0fc30ce3caff6bcb624b316b5ca3469cec5e82	3531836	fca929d0a46eb71b2b5be2e0d7c604373e04e006576b611219c52002594c5f98	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-001.lrat.xz
002	p00-c002	00	002	0100	0150	50	26099	159968	10784712	ba34f2a2b67638d1bb83d69ea4fc86e5bbdd72e66f7799bf9c682714175a3abf	50797942	0fc33774ce9392d266174a0a57a66a45117cbdef4fbaff1e9b964c1374d8b712	8807780	cf1609726d09ba3324a90940ce9d64a34567bcda9fd654873dbaf0e8517906d9	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-002.lrat.xz
003	p00-c003	00	003	0150	0200	50	26099	159968	10784712	3090749771a66b359232bc8a9a770c100e139949e918fa8037f0993e9d0cc024	38761396	3f26b487e525b681dd17d2d50523fd4673cb174836e925c3d31ccfcc862d1847	6472880	be81e7106fe694ac82bc429c015b86f1a9c0347dc11237f420aa6e52635d4b13	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-003.lrat.xz
004	p00-c004	00	004	0200	0250	50	26099	159968	10784712	4768f49c025fdfcb920f25a722ecad71637feb15b02388ffbd390a155b1c1c2d	43800698	bb0fe8d35ea10bdd91890ae7c7b75804bbb6b3eb84c22d1c057cb5d727c302bc	7370180	c3e3ae9a524fe9154aa09df99f75a271a235092222224ff470b4a69708284d9c	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-004.lrat.xz
005	p00-c005	00	005	0250	0300	50	26099	159968	10784712	c3f1fca0c6cdfa29588d0d9f93c0d22802890f9dae4e50cc36e6f6114cbda45f	51503784	a7822240f2b00b09889f011bc2394ce226e938e0e00566c418b9922a51490f28	9195052	c15da6ed96b14e1a771b04a2de2ef6c061bc544c5e50bb86f3450f3a2d039d56	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-005.lrat.xz
006	p00-c006	00	006	0300	0350	50	26099	159968	10784712	86f959e70390a9a24a056aab1fa87e5f51d653361784b9005319b375cad75e75	46162140	44f318414376b06c8341d9c95f55a7ebde9b36f2b38b3aa2906b35ce72a97da4	7865380	471ace1a0f94de0e3712f1ef5af968ea23127ce7dcf682510776dad13d147036	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-006.lrat.xz
007	p00-c007	00	007	0350	0400	50	26099	159968	10784712	2eed73b5910cd3e4c51c0b010b5090634f62ef4da4056eb3f64d41f5577748fd	61828395	9bc0b85178d52c4aea716b67c57d4c488652ce9f859362765bbc9266f7937a74	11063200	d2294adea12b277b5e7ad37263f2baefc59d3a7d1fd9baef31dace25fb0d75d0	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-007.lrat.xz
008	p00-c008	00	008	0400	0450	50	26099	159968	10784712	8a7eac41eafe423c94dd5ed4f554582a398a9114b8e1129d85cab2c9ac8ddfba	46049275	de5ac6484e2aefc3c8790837b48c5d6243fe2123d881397794b3a3911d1f0599	8123348	c18de0ba4c6e53ad9401d7ee7a7dbdbd33ae9bc5a08974470ccfea1d3f31326a	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-008.lrat.xz
009	p00-c009	00	009	0450	0500	50	26099	159968	10784712	3f209a164e5804ebebb1c5d669626fb0e9f03e98b91423d15d162977d61fac90	62249835	d81f389858b15b7aef05a61584609833514af59c32e5e22c459091806aae2bcb	11028180	387d32e5a039d2e6d8fbc3ffa0abb7e59c2de137ff6304e411aa9b069059c54e	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-009.lrat.xz
010	p00-c010	00	010	0500	0550	50	26099	159968	10784714	ea03c6a8f66788105f391787304679b20afda55973865700c56a8702419173cf	45094990	9b4e6e37b7c6737d38ff05dd9f2e55bd25abcc1ab6a6b58dac19b6bdb39339d3	7764176	f34adb7acdcb1f8cffb6ab18c30cbe1336f5006d35d84408dc460ff690434290	certificates/m6-b7-l2-parent-chunk-cover-artifacts/leaf-010.lrat.xz
