m6-b7-l3-position14-terminal-refinement-manifest-v1
profile-manifest-bytes	3397
profile-manifest-sha256	ea5101e9be4e3cf72b3eca9dea5c386a34400f8b456d9cc7c19b97315c183e35
profile-hashes-bytes	2099
profile-hashes-sha256	5e38a1cae1fe294164768cc06afac4d44e79a26248f8994a7eb3ef21cd38d275
balanced-manifest-bytes	8414
balanced-manifest-sha256	20f6d04a9e8ca0662efd011ead7804402d3c0dd21e025311cb4485fae8403fdb
balanced-hashes-bytes	5972
balanced-hashes-sha256	46045d216f32a22b1d618910c4e3fc5528c700b34277be2e17eab89e6ccae125
eighteen-profile-ledger-bytes	10096
eighteen-profile-ledger-sha256	05a12c0f280d8c416db270ce9b91010ea36efa7bce5f9bc91bda1453acd75ef0
eighteen-profile-packages-bytes	678
eighteen-profile-packages-sha256	531da303829617ed604ef53d7d082d05aa95acb1ce509687074aa3e16111d25e
parent-profile-position	14
parent-profile-key	p14
parents	1269
q-hcc-intersections	5
parent-chunk-cap	100
high-A-values	0,1,2,3
leaves	60
cover	disjoint-and-exhaustive
ordering	balanced-shard-ordinal,parent-chunk,high(A)
columns	leaf-ordinal,key,shard-ordinal,shard-key,q,H_CC,chunk,high-A,parents,variables,clauses,member-sha256
00	p14-B7-l3-q0-c1-s00-c00-ha0	34	B7-l3-q0-c1-s00	0	1	0	0	100	26185	167747	84fd27e07755ede5f889dcb29caee9ff363682dd930feebcccd6d4bc61039fc4
01	p14-B7-l3-q0-c1-s00-c00-ha1	34	B7-l3-q0-c1-s00	0	1	0	1	100	26185	167748	84fd27e07755ede5f889dcb29caee9ff363682dd930feebcccd6d4bc61039fc4
02	p14-B7-l3-q0-c1-s00-c00-ha2	34	B7-l3-q0-c1-s00	0	1	0	2	100	26185	167748	84fd27e07755ede5f889dcb29caee9ff363682dd930feebcccd6d4bc61039fc4
03	p14-B7-l3-q0-c1-s00-c00-ha3	34	B7-l3-q0-c1-s00	0	1	0	3	100	26185	167748	84fd27e07755ede5f889dcb29caee9ff363682dd930feebcccd6d4bc61039fc4
04	p14-B7-l3-q0-c1-s00-c01-ha0	34	B7-l3-q0-c1-s00	0	1	1	0	100	26185	167747	7eafd1a58ec03953b90f8948587ed4eb946276126bbb69f9900de644ffb68124
05	p14-B7-l3-q0-c1-s00-c01-ha1	34	B7-l3-q0-c1-s00	0	1	1	1	100	26185	167748	7eafd1a58ec03953b90f8948587ed4eb946276126bbb69f9900de644ffb68124
06	p14-B7-l3-q0-c1-s00-c01-ha2	34	B7-l3-q0-c1-s00	0	1	1	2	100	26185	167748	7eafd1a58ec03953b90f8948587ed4eb946276126bbb69f9900de644ffb68124
07	p14-B7-l3-q0-c1-s00-c01-ha3	34	B7-l3-q0-c1-s00	0	1	1	3	100	26185	167748	7eafd1a58ec03953b90f8948587ed4eb946276126bbb69f9900de644ffb68124
08	p14-B7-l3-q0-c1-s00-c02-ha0	34	B7-l3-q0-c1-s00	0	1	2	0	100	26185	167747	ea7c4b49809b628357a8706377176847e7cc6129b6b911410911cffc4f289522
09	p14-B7-l3-q0-c1-s00-c02-ha1	34	B7-l3-q0-c1-s00	0	1	2	1	100	26185	167748	ea7c4b49809b628357a8706377176847e7cc6129b6b911410911cffc4f289522
10	p14-B7-l3-q0-c1-s00-c02-ha2	34	B7-l3-q0-c1-s00	0	1	2	2	100	26185	167748	ea7c4b49809b628357a8706377176847e7cc6129b6b911410911cffc4f289522
11	p14-B7-l3-q0-c1-s00-c02-ha3	34	B7-l3-q0-c1-s00	0	1	2	3	100	26185	167748	ea7c4b49809b628357a8706377176847e7cc6129b6b911410911cffc4f289522
12	p14-B7-l3-q0-c1-s00-c03-ha0	34	B7-l3-q0-c1-s00	0	1	3	0	62	26147	161933	5e504716e080def2d66d358eb6b95eb26f3003337804382818d3ebc46da1df19
13	p14-B7-l3-q0-c1-s00-c03-ha1	34	B7-l3-q0-c1-s00	0	1	3	1	62	26147	161934	5e504716e080def2d66d358eb6b95eb26f3003337804382818d3ebc46da1df19
14	p14-B7-l3-q0-c1-s00-c03-ha2	34	B7-l3-q0-c1-s00	0	1	3	2	62	26147	161934	5e504716e080def2d66d358eb6b95eb26f3003337804382818d3ebc46da1df19
15	p14-B7-l3-q0-c1-s00-c03-ha3	34	B7-l3-q0-c1-s00	0	1	3	3	62	26147	161934	5e504716e080def2d66d358eb6b95eb26f3003337804382818d3ebc46da1df19
16	p14-B7-l3-q0-c1-s01-c00-ha0	35	B7-l3-q0-c1-s01	0	1	0	0	100	26185	167747	5df2409c96654f56bd5d21a5f07fa6627737f0313cba20a963a4f22d305a8ee7
17	p14-B7-l3-q0-c1-s01-c00-ha1	35	B7-l3-q0-c1-s01	0	1	0	1	100	26185	167748	5df2409c96654f56bd5d21a5f07fa6627737f0313cba20a963a4f22d305a8ee7
18	p14-B7-l3-q0-c1-s01-c00-ha2	35	B7-l3-q0-c1-s01	0	1	0	2	100	26185	167748	5df2409c96654f56bd5d21a5f07fa6627737f0313cba20a963a4f22d305a8ee7
19	p14-B7-l3-q0-c1-s01-c00-ha3	35	B7-l3-q0-c1-s01	0	1	0	3	100	26185	167748	5df2409c96654f56bd5d21a5f07fa6627737f0313cba20a963a4f22d305a8ee7
20	p14-B7-l3-q0-c1-s01-c01-ha0	35	B7-l3-q0-c1-s01	0	1	1	0	100	26185	167747	efae9fed2787524950510b5e1bac3e4e5f3932936687a177faa4cf8e10a1778d
21	p14-B7-l3-q0-c1-s01-c01-ha1	35	B7-l3-q0-c1-s01	0	1	1	1	100	26185	167748	efae9fed2787524950510b5e1bac3e4e5f3932936687a177faa4cf8e10a1778d
22	p14-B7-l3-q0-c1-s01-c01-ha2	35	B7-l3-q0-c1-s01	0	1	1	2	100	26185	167748	efae9fed2787524950510b5e1bac3e4e5f3932936687a177faa4cf8e10a1778d
23	p14-B7-l3-q0-c1-s01-c01-ha3	35	B7-l3-q0-c1-s01	0	1	1	3	100	26185	167748	efae9fed2787524950510b5e1bac3e4e5f3932936687a177faa4cf8e10a1778d
24	p14-B7-l3-q0-c1-s01-c02-ha0	35	B7-l3-q0-c1-s01	0	1	2	0	100	26185	167747	d56ff8eb50b9006a3e19f3401f1d9efcba031fbfdc1efb8a08f0d359d7c40ff6
25	p14-B7-l3-q0-c1-s01-c02-ha1	35	B7-l3-q0-c1-s01	0	1	2	1	100	26185	167748	d56ff8eb50b9006a3e19f3401f1d9efcba031fbfdc1efb8a08f0d359d7c40ff6
26	p14-B7-l3-q0-c1-s01-c02-ha2	35	B7-l3-q0-c1-s01	0	1	2	2	100	26185	167748	d56ff8eb50b9006a3e19f3401f1d9efcba031fbfdc1efb8a08f0d359d7c40ff6
27	p14-B7-l3-q0-c1-s01-c02-ha3	35	B7-l3-q0-c1-s01	0	1	2	3	100	26185	167748	d56ff8eb50b9006a3e19f3401f1d9efcba031fbfdc1efb8a08f0d359d7c40ff6
28	p14-B7-l3-q0-c1-s01-c03-ha0	35	B7-l3-q0-c1-s01	0	1	3	0	62	26147	161933	c8753db36a339fa1713341ffff10a7e7fa5cedf9b04f01369670ec8b3469fa33
29	p14-B7-l3-q0-c1-s01-c03-ha1	35	B7-l3-q0-c1-s01	0	1	3	1	62	26147	161934	c8753db36a339fa1713341ffff10a7e7fa5cedf9b04f01369670ec8b3469fa33
30	p14-B7-l3-q0-c1-s01-c03-ha2	35	B7-l3-q0-c1-s01	0	1	3	2	62	26147	161934	c8753db36a339fa1713341ffff10a7e7fa5cedf9b04f01369670ec8b3469fa33
31	p14-B7-l3-q0-c1-s01-c03-ha3	35	B7-l3-q0-c1-s01	0	1	3	3	62	26147	161934	c8753db36a339fa1713341ffff10a7e7fa5cedf9b04f01369670ec8b3469fa33
32	p14-B7-l3-q1-c1-s00-c00-ha0	39	B7-l3-q1-c1-s00	1	1	0	0	100	26185	167747	616b7ffea5ab9e5a999ef0157c115991a671f54e71a6b626eeb011bbe184ab01
33	p14-B7-l3-q1-c1-s00-c00-ha1	39	B7-l3-q1-c1-s00	1	1	0	1	100	26185	167748	616b7ffea5ab9e5a999ef0157c115991a671f54e71a6b626eeb011bbe184ab01
34	p14-B7-l3-q1-c1-s00-c00-ha2	39	B7-l3-q1-c1-s00	1	1	0	2	100	26185	167748	616b7ffea5ab9e5a999ef0157c115991a671f54e71a6b626eeb011bbe184ab01
35	p14-B7-l3-q1-c1-s00-c00-ha3	39	B7-l3-q1-c1-s00	1	1	0	3	100	26185	167748	616b7ffea5ab9e5a999ef0157c115991a671f54e71a6b626eeb011bbe184ab01
36	p14-B7-l3-q1-c1-s00-c01-ha0	39	B7-l3-q1-c1-s00	1	1	1	0	100	26185	167747	5d75e412a5e9cad4d9f66256f956d7726b1bc1c21bdd5423589096e117390ab8
37	p14-B7-l3-q1-c1-s00-c01-ha1	39	B7-l3-q1-c1-s00	1	1	1	1	100	26185	167748	5d75e412a5e9cad4d9f66256f956d7726b1bc1c21bdd5423589096e117390ab8
38	p14-B7-l3-q1-c1-s00-c01-ha2	39	B7-l3-q1-c1-s00	1	1	1	2	100	26185	167748	5d75e412a5e9cad4d9f66256f956d7726b1bc1c21bdd5423589096e117390ab8
39	p14-B7-l3-q1-c1-s00-c01-ha3	39	B7-l3-q1-c1-s00	1	1	1	3	100	26185	167748	5d75e412a5e9cad4d9f66256f956d7726b1bc1c21bdd5423589096e117390ab8
40	p14-B7-l3-q1-c1-s00-c02-ha0	39	B7-l3-q1-c1-s00	1	1	2	0	100	26185	167747	1cb56c52722d763f3a89ff4359ca20be289df305dd4aadf546a1bf69bd3fe745
41	p14-B7-l3-q1-c1-s00-c02-ha1	39	B7-l3-q1-c1-s00	1	1	2	1	100	26185	167748	1cb56c52722d763f3a89ff4359ca20be289df305dd4aadf546a1bf69bd3fe745
42	p14-B7-l3-q1-c1-s00-c02-ha2	39	B7-l3-q1-c1-s00	1	1	2	2	100	26185	167748	1cb56c52722d763f3a89ff4359ca20be289df305dd4aadf546a1bf69bd3fe745
43	p14-B7-l3-q1-c1-s00-c02-ha3	39	B7-l3-q1-c1-s00	1	1	2	3	100	26185	167748	1cb56c52722d763f3a89ff4359ca20be289df305dd4aadf546a1bf69bd3fe745
44	p14-B7-l3-q1-c1-s00-c03-ha0	39	B7-l3-q1-c1-s00	1	1	3	0	89	26174	166064	20567c9d5470f21b521e760ccab2903834e63cd428f2f4cee29297341829b824
45	p14-B7-l3-q1-c1-s00-c03-ha1	39	B7-l3-q1-c1-s00	1	1	3	1	89	26174	166065	20567c9d5470f21b521e760ccab2903834e63cd428f2f4cee29297341829b824
