m6-b7-l6-early-c-inaccessible-pair-scout-unsat-certificates-v1
generated-utc	2026-08-24
scope	f47a032-frozen-B7-l6-early-C-inaccessible-pair-exact-scout-UNSAT-only
base-commit	f47a032c88df5187a99b1895bae50dd363d80959
cover-children	192
scout-unsat	172
scout-timeout	20
certified-children	172
parent-incidences	645
status-sequence	UTUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUTUUUTUUUTUUUTUUUUUUUUUTUUUUUUUUUUUUUUUUUUUUUUUTUUUUUUUTUUUTUUUUUUUUUUUUUUUUUTUUUTUUUTUUTUUUUUUTUUUUUUUUUUUUUUUUUUUUUUUUUUUTUUUTUUUTUUUUUUUUUUUUUUUUUTUUUTUTUUUU
status-sequence-sha256	07e6e6e189544bede5004996a7bcb70db3ad4ed99bd20de5b1632e86388d2434
solver	CaDiCaL 1.7.3
solver-source-commit	38e073b389a877b0a0d3c91136d2443ab95fdeba
solver-binary-sha256	108d1042b38ceae5cb71e4a806870c4f4d4b8ffdb48a124f2e1fb7b23d3a8292
solver-command	cadical --lrat --no-binary -q CNF LRAT
solver-required-exit	20
checker	lrat-check
checker-source-commit	2e3b2dc0ecf938addbd779d42877b6ed69d9a985
checker-binary-sha256	e9e71c96b68dc9ed22db35d7581e613e6b161ffbc82c20cba5699f8320a065b8
checker-required-output	c VERIFIED
compression	xz -3
compressor-binary	/usr/bin/xz
compressor-binary-sha256	b5b163eb273291934556377ab883b4b2a5d4da50bd0dc0a91774ecc234ccd8d0
compressed-limit-bytes-exclusive	250000000
total-lrat-bytes	1226909466
total-xz-bytes	81964720
verifier-canonical-sha256	a061e3b9b15e01c47dbbb78f20848a469c9238e06f3152d6fe98bcf2a8d2003d
cover-manifest-bytes	8714
cover-manifest-sha256	b9488ecb3cd8f734d213ef891ccd5e3695b3415319806f7e5190fa26f3f45c11
cover-hash-ledger-bytes	19648
cover-hash-ledger-sha256	150b7a86960078f78d64cb82f499403bf8e9359ec24c936838f99dc6b299a358
cover-scout-bytes	47594
cover-scout-sha256	1c324d6ce3b73ebdb9abdc8bafcaed1a3373541b208c7ef22002d1556bd3a480
certificate-producer-bytes	5648
certificate-producer-sha256	e439f0b77842c8498bea64db9461e875b70b9746168095756870eb1e3c82d61e
hostile-tests-bytes	2113
hostile-tests-sha256	95814bd8b19e309f2dc6110d9de40726acde773fbbcac9151a55f0f3df1d54c2
runtime-check-m6-b7-l6-early-c-inaccessible-pair-orbits-bytes	16731
runtime-check-m6-b7-l6-early-c-inaccessible-pair-orbits-sha256	c76b3e1b0b1b474407a334a25216a11d60d967b07332b1c2f46b193c21f09728
runtime-check-m6-b7-l6-early-c-profile-census-bytes	25272
runtime-check-m6-b7-l6-early-c-profile-census-sha256	4a411b7ad461ddb94adecba5e1c9b0a0e68c814a61ca20f092a8178a0772684d
runtime-check-m6-clean-sink-group-cnf-bytes	14918
runtime-check-m6-clean-sink-group-cnf-sha256	07d2ac0802c8d9fc854e8c5e10ef0e1a67f54dda2c06c1a71bf69465390ee536
runtime-check-m6-clean-sink-manifest-bytes	8864
runtime-check-m6-clean-sink-manifest-sha256	8fb7164f71f3e6ba6c616a0709481b839e7c135ba0c7c45dd4c84f2cde42bbb0
runtime-check-m6-parent-cnf-bytes	12776
runtime-check-m6-parent-cnf-sha256	26af1932432445b0ce70e82634a9db651471e92b1528ac28de8564f3ab548b96
runtime-m6-b7-l6-early-c-inaccessible-pair-orbits-bytes	9424
runtime-m6-b7-l6-early-c-inaccessible-pair-orbits-sha256	25fb434f2fd92b2ff317e58a452609698147325ccea284e5ae9985f85896598c
runtime-m6-b7-l6-early-c-profile-census-bytes	15144
runtime-m6-b7-l6-early-c-profile-census-sha256	a8e77596ec10c26b3b0f93204d8f3c2b2efa5f83c4d8a1a33ca0fd4af667100d
runtime-m6-b7-l6-state-split-bytes	15948
runtime-m6-b7-l6-state-split-sha256	544de152f692fc9f2b781f81de320e1d35a24a38d3225147212aa5d9609d2d1f
runtime-m6-clean-sink-group-cnf-bytes	11550
runtime-m6-clean-sink-group-cnf-sha256	9eb6455daf71a2127f76a197012c2e0f4a7c7f42021ddfcfbe244f9f733ed817
runtime-m6-clean-sink-manifest-bytes	8200
runtime-m6-clean-sink-manifest-sha256	5d5b5545ff31eb719ce2f4eb8ad27bb0a9ccd6546bd35ad1fe6ace871ad8232f
runtime-m6-parent-cnf-bytes	10958
runtime-m6-parent-cnf-sha256	0b6c69aca85a627a676ae604b9a3c417e69a9d9cf359de05d7a56a11199f3147
runtime-m6-residual-group-cnf-bytes	16054
runtime-m6-residual-group-cnf-sha256	f15a8fe30e51b7d61d273901c0b5f140151bb1a58ec910ad0c21c84e96c535a3
runtime-snc-cnf-bytes	7969
runtime-snc-cnf-sha256	adab04953d3697ec004e28ad145dda5b0f04d07ee8dd20d95655f6e32877d68e
columns	child,key,profile,parents,variables,clauses,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,solve-nanoseconds,check-nanoseconds,artifact
000	o03-i00	03	1	23626	144288	10402089	54eb2207e6b62fbe2d4e0a8cda86ab229b2dcf0456622669f0d596c60cc0a742	7123439	152037d0f63445f63aada14586a29e9f5866026ce8b3250683a1b65d5848882c	474120	fcd3b5728c90b410670ab957a4366218022a0a3ea29533b74d5385c99c6bedfe	256181635	329401100	certificates/m6-b7-l6-early-c-inaccessible-pair-child-000.lrat.xz
002	o03-i02	03	2	23626	144287	10402082	f3225ed7ef4d58b028cd98993770c93b165e8c00036feaa62082d372f5a9b81b	7123446	8c0933b8e1565782e3a14170c5859ae05621b4336a72287eedccf100a6d5e526	473876	787679c2b155f998edc2bcf4773631c0159f6a3deb8dd64d0f1bf780dc60299c	256124769	327600816	certificates/m6-b7-l6-early-c-inaccessible-pair-child-002.lrat.xz
003	o03-i03	03	4	23626	144285	10402068	49f139e5e97c62f3b3e5645136e7b8f430e747d6e5c3e1f6d72b08b373690374	7102637	487983a675613fc8a012733f637918745bdfcacb1fc6ae61de4b78f3cb345ca8	469224	5919c0bf2694459fca8680dcfe95e8f4616f84312cc46af321dcfa29bd405389	253112805	337046013	certificates/m6-b7-l6-early-c-inaccessible-pair-child-003.lrat.xz
004	o03-i04	03	4	23626	144285	10402069	4f28aec8d23f6483122aef5bd1db520ef33c80e92db6260b25014fb23d1431ed	7153618	253e8363e7548795df27ea64f5a5e33179fca77e9da99d8f3c914bdf85f7eb31	483184	e4a69beeeea5a95b20f5b0c4b23cd769bcc1762973e092aeee8002199ad6617d	254307009	340580913	certificates/m6-b7-l6-early-c-inaccessible-pair-child-004.lrat.xz
005	o03-i05	03	2	23626	144287	10402082	d5c923d1af1eaa89f54d80e8ee474af2a5463c05f401a9afc99891dde36b8eb7	7123482	f033c36d13457726a46d9cf20848e07b9c65398c0146e2163b801ff6f5e67a02	473876	b7fb2d8ec4eb68bb7a22eedc27ee9de834c2a0cbcde506db2b72250d2205dfe4	257361717	330635594	certificates/m6-b7-l6-early-c-inaccessible-pair-child-005.lrat.xz
006	o03-i06	03	3	23626	144286	10402075	463ec4c04f1f9c4f54eb97033ad94d9ac29df8b008784a5b9235eba6278f72a7	7102606	adf43ab28c06b47925d7178ca7a80c7101386e75ced06a8af4624cb43817da1f	469108	c9cc133479ad51622be6f31be6f627f4b527bcfa33cf392ba52abcd4d3871d40	252741979	329994482	certificates/m6-b7-l6-early-c-inaccessible-pair-child-006.lrat.xz
007	o03-i07	03	3	23626	144286	10402076	3c206170d5a9a46817820ee14f2ad0fcc734cefde9c3850d393fa2895d42e034	7123921	3ae8e4c7e73f5e6c83ee864c1fd5dd21c4b44197002eb71704633fc01be92627	474432	6b54b5765ce725488de9caee20eb34d0937686d64f49d39cc1476535c4b24a4a	254997105	330102464	certificates/m6-b7-l6-early-c-inaccessible-pair-child-007.lrat.xz
008	o03-i08	03	1	23626	144288	10402089	0859e47ac5d2418888dcad60effdbabb87c5af2fc2ecf498055cb1c28bd7143b	7123458	b7dd425b3d318c1c42f82408aee3fa24298234e32fab368494e7b93a3c66033f	474176	a391da6c3870c672a8b02663a004977ba556eefa490c60e7ab6a73018fbba5de	252874838	331650649	certificates/m6-b7-l6-early-c-inaccessible-pair-child-008.lrat.xz
009	o03-i09	03	3	23626	144286	10402075	aadb49aee52733deaa209584f175dcca5ebaa392d141e2730ff9cc0bdb356d22	7102575	333760f48f8a636c4cb8f58d618efff3a5071c6868f1f78044b81f576591d3da	469100	22885b395a402975dc1fdcb07b014c1fe13cbd55d27f8269ce1f4ddecc581085	250844800	329052676	certificates/m6-b7-l6-early-c-inaccessible-pair-child-009.lrat.xz
010	o03-i10	03	3	23626	144286	10402077	ba6a9ce761640539588106aabf2e7f7bf91b70d09b809518c67a6666ebc03687	7123879	0f50cdc6e3b0e5283b3f1e8ec8e1b0e5c1ac8e8b4357cd7bbdfe1d90006ac487	474472	fdcfcd20297c93e0ad419affb2679607c200b0117be5d03a6ca4af6715b93df2	256817041	329849999	certificates/m6-b7-l6-early-c-inaccessible-pair-child-010.lrat.xz
011	o03-i11	03	2	23626	144287	10402083	5b7e7052786d04909d8777c7d62a0704a886a5ca7dfbeacc35fd8e3fdb7bc60c	7123989	712c3ddc2661fc124255163e44ddd5b20b4c74f7314c3704abe8f3e236f72fe0	474092	56d3fcc4e2c75227696b8bd850af67b4bc8aa4ea9acee7f0e4ed53a11031dd4f	256481202	332496299	certificates/m6-b7-l6-early-c-inaccessible-pair-child-011.lrat.xz
012	o03-i12	03	4	23626	144285	10402069	2e8015416da0b1a4475833def870442bbae7648601f42fac8a1f7490aa7395b6	7102544	fcc096e0cb3608e402e0715fedf73040e37e539bc7ff1e60635e41ee128c2061	469184	f43840246c98224a40881dffd524f4bb1de65aecad903d3072faf9821526c0c1	252884934	329105361	certificates/m6-b7-l6-early-c-inaccessible-pair-child-012.lrat.xz
