m6-b7-l6-early-c-profile-census-v1
state-manifest-bytes	4382
state-manifest-sha256	a3b8f9d17b50dbfccd5f00740b33c6e90f6f10d26a3854dd627a45681e5c890e
state-hashes-bytes	3163
state-hashes-sha256	eec464838f7d01e6cf053c7cbf8fa1442068d78738f4bd2772b15a8417543ae4
state-scout-bytes	6948
state-scout-sha256	69c1d56145ec2544702717b252bd1e3796c882c68ca95023488b959e2af2f763
hard-orbit-manifest-bytes	5533
hard-orbit-manifest-sha256	6c1080c6f97f92e68a9de6bc762145ceac9086f0b87dc4aa4ed73a746861b2d4
hard-orbit-scout-bytes	11413
hard-orbit-scout-sha256	32fa8260e2efb3cc326bafc2ce2d375ec84bf77ebb2fb5f9efd96b5b995ef31a
profile-manifest-bytes	1020
profile-manifest-sha256	9ca5f13d10b740a2c6caef730d272c4c407bc5c340bf9fda11b2668ad63389ae
profile-hashes-bytes	397
profile-hashes-sha256	1d4a99023eab6a06ba85ac21e91b2e1af93454d016dc6463b6191d53df4f9305
profile-certificates-bytes	3546
profile-certificates-sha256	8afc7a2261e76ff878506bec5ea498fafd5baf7e212c532086cf414ff94d2cea
states	30
state-parent-incidences	260
distinct-parents	42
orbits	60
orbit-parent-incidences	544
S7-permutations	5040
certified-orbits	34,35
SCOUT-UNSAT-orbits	31
SCOUT-TIMEOUT-orbits	27
SCOUT-SAT-orbits	0
total-eliminated-including-certified	33
scout-status-sequence-sha256	b903c8ea998ae57af4c7a8598f5cbd772a888edf29722df3c8fb98c78a453bfc
certified-profile-map	34:t0,35:t1
certified-serialization-equivalence	identical numbered variable map and DIMACS clause stream; census comments intentionally differ
certified-source-cnf-sha256	0c06a73c9308bae4eee1b309362485d24ed6508c7de8e64bf87c647805048b5f,d6bc88cf265db8aaaf5ff6f93160c0ca24bb7c1ba9341ad5704c9f29795eae2a
uncertified-orbit-31	yes
ordering	internal-C,high-mask,(cb16,cb17),(h16,h17),intersection-t
columns	orbit,key,state-ordinal,state-key,h16,h17,internal,high-mask,cb16,cb17,t,S7-orbit-size,parents,variables,clauses,status,member-sha256
00	o00	14	h24-cf-m00-b03	2	4	16>17	00	0	3	0	35	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
01	o01	22	h33-cf-m00-b12	3	3	16>17	00	1	2	0	105	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
02	o02	22	h33-cf-m00-b12	3	3	16>17	00	1	2	1	42	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
03	o03	15	h24-cf-m01-b04	2	4	16>17	01	0	4	0	35	10	23626	144277	SCOUT-TIMEOUT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
04	o04	23	h33-cf-m01-b13	3	3	16>17	01	1	3	0	140	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
05	o05	23	h33-cf-m01-b13	3	3	16>17	01	1	3	1	105	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
06	o06	04	h15-cf-m10-b04	1	5	16>17	10	0	4	0	35	6	23622	143665	SCOUT-UNSAT	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
07	o07	16	h24-cf-m10-b13	2	4	16>17	10	1	3	0	140	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
08	o08	16	h24-cf-m10-b13	2	4	16>17	10	1	3	1	105	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
09	o09	24	h33-cf-m10-b22	3	3	16>17	10	2	2	0	210	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
10	o10	24	h33-cf-m10-b22	3	3	16>17	10	2	2	1	210	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
11	o11	24	h33-cf-m10-b22	3	3	16>17	10	2	2	2	21	10	23626	144277	SCOUT-TIMEOUT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
12	o12	05	h15-cf-m11-b05	1	5	16>17	11	0	5	0	21	6	23622	143665	SCOUT-TIMEOUT	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
13	o13	17	h24-cf-m11-b14	2	4	16>17	11	1	4	0	105	10	23626	144277	SCOUT-TIMEOUT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
14	o14	17	h24-cf-m11-b14	2	4	16>17	11	1	4	1	140	10	23626	144277	SCOUT-TIMEOUT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
15	o15	25	h33-cf-m11-b23	3	3	16>17	11	2	3	0	210	10	23626	144277	SCOUT-TIMEOUT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
16	o16	25	h33-cf-m11-b23	3	3	16>17	11	2	3	1	420	10	23626	144277	SCOUT-TIMEOUT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
17	o17	25	h33-cf-m11-b23	3	3	16>17	11	2	3	2	105	10	23626	144277	SCOUT-TIMEOUT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
18	o18	06	h15-cr-m00-b03	1	5	17>16	00	0	3	0	35	6	23622	143665	SCOUT-UNSAT	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
19	o19	18	h24-cr-m00-b12	2	4	17>16	00	1	2	0	105	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
20	o20	18	h24-cr-m00-b12	2	4	17>16	00	1	2	1	42	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
21	o21	26	h33-cr-m00-b21	3	3	17>16	00	2	1	0	105	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
22	o22	26	h33-cr-m00-b21	3	3	17>16	00	2	1	1	42	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
23	o23	07	h15-cr-m01-b04	1	5	17>16	01	0	4	0	35	6	23622	143665	SCOUT-TIMEOUT	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
24	o24	19	h24-cr-m01-b13	2	4	17>16	01	1	3	0	140	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
25	o25	19	h24-cr-m01-b13	2	4	17>16	01	1	3	1	105	10	23626	144277	SCOUT-TIMEOUT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
26	o26	27	h33-cr-m01-b22	3	3	17>16	01	2	2	0	210	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
27	o27	27	h33-cr-m01-b22	3	3	17>16	01	2	2	1	210	10	23626	144277	SCOUT-UNSAT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
28	o28	27	h33-cr-m01-b22	3	3	17>16	01	2	2	2	21	10	23626	144277	SCOUT-TIMEOUT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
29	o29	08	h15-cr-m10-b13	1	5	17>16	10	1	3	0	140	6	23622	143665	SCOUT-UNSAT	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
30	o30	08	h15-cr-m10-b13	1	5	17>16	10	1	3	1	105	6	23622	143665	SCOUT-UNSAT	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
31	o31	20	h24-cr-m10-b22	2	4	17>16	10	2	2	0	210	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
32	o32	20	h24-cr-m10-b22	2	4	17>16	10	2	2	1	210	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
33	o33	20	h24-cr-m10-b22	2	4	17>16	10	2	2	2	21	10	23626	144277	SCOUT-UNSAT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
34	o34	28	h33-cr-m10-b31	3	3	17>16	10	3	1	0	140	10	23626	144277	CERTIFIED	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
35	o35	28	h33-cr-m10-b31	3	3	17>16	10	3	1	1	105	10	23626	144277	CERTIFIED	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
36	o36	09	h15-cr-m11-b14	1	5	17>16	11	1	4	0	105	6	23622	143665	SCOUT-TIMEOUT	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
37	o37	09	h15-cr-m11-b14	1	5	17>16	11	1	4	1	140	6	23622	143665	SCOUT-TIMEOUT	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
38	o38	21	h24-cr-m11-b23	2	4	17>16	11	2	3	0	210	10	23626	144277	SCOUT-TIMEOUT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
39	o39	21	h24-cr-m11-b23	2	4	17>16	11	2	3	1	420	10	23626	144277	SCOUT-TIMEOUT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
40	o40	21	h24-cr-m11-b23	2	4	17>16	11	2	3	2	105	10	23626	144277	SCOUT-TIMEOUT	4272fdab46e45df17d5d17273ad8fd4a4e0340639c3a797b562d9c4f27057da0
41	o41	29	h33-cr-m11-b32	3	3	17>16	11	3	2	0	210	10	23626	144277	SCOUT-TIMEOUT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
42	o42	29	h33-cr-m11-b32	3	3	17>16	11	3	2	1	420	10	23626	144277	SCOUT-TIMEOUT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
43	o43	29	h33-cr-m11-b32	3	3	17>16	11	3	2	2	105	10	23626	144277	SCOUT-TIMEOUT	2578c128293cb558694ce690478a94ce47a5420b8afb2fde11cfd24f49fa5d0d
44	o44	00	h14-ch-m00-b03	1	4	h	00	0	3	0	35	6	23622	143665	SCOUT-UNSAT	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
45	o45	10	h23-ch-m00-b12	2	3	h	00	1	2	0	105	10	23626	144277	SCOUT-UNSAT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
46	o46	10	h23-ch-m00-b12	2	3	h	00	1	2	1	42	10	23626	144277	SCOUT-UNSAT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
47	o47	01	h14-ch-m01-b04	1	4	h	01	0	4	0	35	6	23622	143665	SCOUT-TIMEOUT	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
48	o48	11	h23-ch-m01-b13	2	3	h	01	1	3	0	140	10	23626	144277	SCOUT-UNSAT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
49	o49	11	h23-ch-m01-b13	2	3	h	01	1	3	1	105	10	23626	144277	SCOUT-TIMEOUT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
50	o50	02	h14-ch-m10-b13	1	4	h	10	1	3	0	140	6	23622	143665	SCOUT-UNSAT	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
51	o51	02	h14-ch-m10-b13	1	4	h	10	1	3	1	105	6	23622	143665	SCOUT-UNSAT	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
52	o52	12	h23-ch-m10-b22	2	3	h	10	2	2	0	210	10	23626	144277	SCOUT-UNSAT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
53	o53	12	h23-ch-m10-b22	2	3	h	10	2	2	1	210	10	23626	144277	SCOUT-UNSAT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
54	o54	12	h23-ch-m10-b22	2	3	h	10	2	2	2	21	10	23626	144277	SCOUT-TIMEOUT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
55	o55	03	h14-ch-m11-b14	1	4	h	11	1	4	0	105	6	23622	143665	SCOUT-TIMEOUT	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
56	o56	03	h14-ch-m11-b14	1	4	h	11	1	4	1	140	6	23622	143665	SCOUT-TIMEOUT	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
57	o57	13	h23-ch-m11-b23	2	3	h	11	2	3	0	210	10	23626	144277	SCOUT-TIMEOUT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
58	o58	13	h23-ch-m11-b23	2	3	h	11	2	3	1	420	10	23626	144277	SCOUT-TIMEOUT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
59	o59	13	h23-ch-m11-b23	2	3	h	11	2	3	2	105	10	23626	144277	SCOUT-TIMEOUT	174ca5aa15718acd2a5ad26888626da1a3a7f061dc6d4042398f1b36624886e1
