m6-b7-l6-hard-witness-no-gain-certificates-v1
generated-utc	2026-08-09
scope	frozen-B7-l6-hard-witness-no-gain-scout-UNSAT-only
no-gain-manifest-bytes	6831
no-gain-manifest-sha256	a464607da5ca77da9beb4d5634ea5bc51036f44cad3f22354abfae0da9fe83f4
no-gain-hash-ledger-bytes	11440
no-gain-hash-ledger-sha256	35ceea03f8b3f9d4cc054da5c3114e8fa9b04d1955f2a9bf64b163750fccab90
no-gain-scout-bytes	48487
no-gain-scout-sha256	43bf624d24ca9459bf4de999385ed27367392a174aba46fe95b0773e6d1d7a64
no-gain-producer-bytes	7351
no-gain-producer-sha256	e240399db772439e0f3325d103fcdcee613aec1291268542e6d296135a9c639c
no-gain-structural-checker-bytes	10998
no-gain-structural-checker-sha256	e14a8d48f58d07a55a81d584939775db5eb02f1f721e28dd5d17a600d3b7494b
no-gain-scout-source-bytes	3229
no-gain-scout-source-sha256	da0494548224140e5c57e95af2e3386f2e0b4630cd00eef8b5b21aa72a47313a
no-gain-test-source-bytes	5324
no-gain-test-source-sha256	5958ac30f0df9942338fd3b13f2325968894b8d02b9b8815dea01027221a649b
certificate-producer-bytes	5071
certificate-producer-sha256	6a5d521de7d700ea2eadd4e1d757da25bfc76a1c6e1b5b6926bc3dc29bae16b1
verifier-canonical-sha256	39c8d4251005652ea25de3e4fdf3e564484eb7ade8f396fdf51005bdd0959f4d
solver	CaDiCaL 1.7.3
solver-source-commit	38e073b389a877b0a0d3c91136d2443ab95fdeba
solver-binary-sha256	108d1042b38ceae5cb71e4a806870c4f4d4b8ffdb48a124f2e1fb7b23d3a8292
solver-command	cadical --lrat --no-binary -q CNF LRAT
solver-required-exit	20
checker	lrat-check
checker-source-commit	2e3b2dc0ecf938addbd779d42877b6ed69d9a985
checker-binary-sha256	e9e71c96b68dc9ed22db35d7581e613e6b161ffbc82c20cba5699f8320a065b8
checker-required-output	c VERIFIED
compression	xz -3
compressed-limit-bytes-exclusive	250000000
leaves	75
parents-incidences	686
total-lrat-bytes	583302008
total-xz-bytes	42951720
columns	leaf-ordinal,key,parents,variables,clauses,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,solve-nanoseconds,check-nanoseconds,artifact
005	o01-w04	6	23622	143699	10392751	82b6e1c00a4c946fc95ce5537caadad385f7e4c7eb60f3b008dbc9ad75e234c1	7133057	dcd57838d62ef5833dd7b60cd661081ec1dec323e52a5e8f80b8ba5ea4c01fe6	477496	6cbc40952ff8bc78bef399998fe9cc44df589fb45f8763d7f2a903de182d7658	257297760	329179451	certificates/m6-b7-l6-hard-witness-no-gain-leaf-005.lrat.xz
006	o02-w00	6	23622	143699	10392751	9da5727600af02d6e46bd2ab161507eccbfb3347878e5951b2c2035f35fa169c	15218095	8ae9fb5011b28d9e23c37c11c3f658348775536af3c4d127de537414dd3710aa	1490724	2d4df6f0d7b230be36a8cf9c529ebeaa5356967cb84a422e174f48fd090a56e9	882532935	485375149	certificates/m6-b7-l6-hard-witness-no-gain-leaf-006.lrat.xz
008	o02-w02	6	23622	143699	10392751	c6fd9e129e41e73b3565cc95b4a29187bc17e5efa988b91ba2d997241edca620	7132929	61447491945eab36da23c547b7b37f2189ee95db02a6b0048d6cdde14cfc90dd	477260	8e833f82b243330e49b8d1503600ccfa6713e241b9176d6d31e2f0e052631bc3	260474873	331526890	certificates/m6-b7-l6-hard-witness-no-gain-leaf-008.lrat.xz
009	o03-w00	6	23622	143699	10392748	5a92215606af247fe0a9514ac781fcec94208f99d6e3e17f893c172b77b62587	7106632	57d752efb54aa26f95f0a3b289e9bcd6af1ef64acc6b5151e4deaaa849fab444	470924	b02c7cb6026eaf11caa26584a3df9632d1bc0b16c7043d383820aef3130735f8	252726210	328712730	certificates/m6-b7-l6-hard-witness-no-gain-leaf-009.lrat.xz
010	o03-w01	6	23622	143699	10392749	ac9419ba84969213175da659e647da68a8ebc91bc9a74a5a85216a7350778d6a	7136133	73379ad5487f5f9278c76057460a5a87c05f076ea1483f701dcfbdd4c28592f5	478516	0b032f2a25b00f4bdd5d00d83d1bf5380c5b81de7d9a915986b629c3cb507637	259703258	332011561	certificates/m6-b7-l6-hard-witness-no-gain-leaf-010.lrat.xz
011	o03-w02	6	23622	143699	10392750	084bee0e8f015ce16dcb935acb83f03f1973c61b60b31d1789f7502443171e83	7104960	1ba2b5ab73485d3a09eef0014bfe0bc2c7cc7f135565759cd05efc716f93c9e8	470372	699b5ac86f28b4bdebe5dc07fe2fbe40c23272eb65c6af3630763e42b6787287	252088363	329925350	certificates/m6-b7-l6-hard-witness-no-gain-leaf-011.lrat.xz
012	o03-w03	6	23622	143699	10392750	d3f826cf233069fd81036e6325d71a8d0a89c78e7a1e527dc53a29a18e994036	7106047	00afa2ab266da362b84b34eb75e3badc21a7b94eaf1a01aa4a2cfc74becd6bd9	470720	e945a4d625d9ade361e3a8996ae9af8e2da82b5535dbff31347848162416a3d2	251329751	330055549	certificates/m6-b7-l6-hard-witness-no-gain-leaf-012.lrat.xz
017	o05-w02	6	23622	143699	10392749	415fbc836d8815579358107dc4cdad803baafb3716c09584f3ede16a005eca2d	7106231	c1beec37594576379afa803852c943e0c7d1a130c940e5214845cdadd871fcd6	470644	8096a48c0052b57d02c3fb9e6e26b17cbd36037c16c3d5fdf8f837244820b0ef	251995924	329608365	certificates/m6-b7-l6-hard-witness-no-gain-leaf-017.lrat.xz
018	o05-w03	6	23622	143699	10392750	cca7a354cbd14fe47c2983da2942f35e3fcea0eccd13d587cb79d368555a44c4	7103923	7bf82405a61551b9a148b7e75a2f23504e0812e2579ed6ab0d0ea36075e0411b	469912	9267b10cf2fad3d22d935f815441e5e3bc95bc4a323b76fd9065744beeeac4fc	250704835	328993462	certificates/m6-b7-l6-hard-witness-no-gain-leaf-018.lrat.xz
019	o05-w04	6	23622	143699	10392750	e941977d70fe53da9548ae807ad5b96bff11ae853767b9c9f18994ca23afb1f8	7105381	cf5102b12bb251cb606a4898a2ee829af68955608f2c5f9c63ddeaecb2f6b2b5	470392	a09e8a65f9c3c33e5ecebc0f9310be0f058d6e02199e0bc8707b0c1b28df8c62	250158125	329672886	certificates/m6-b7-l6-hard-witness-no-gain-leaf-019.lrat.xz
020	o05-w05	6	23622	143699	10392749	061ff505e08473854230e8049307f16d2438510b6d0599e2e6c8e3c8bc1e8a5c	7105672	92e7cb2a1ec21fcebd0517ea66e49de0166b3d7d97bc7e6bb3c8a0442e9a8954	470436	e3c915baeb7204baf8983be4e67c6d4c126f08556639a90056ab02f8816ba001	253973983	329578510	certificates/m6-b7-l6-hard-witness-no-gain-leaf-020.lrat.xz
021	o05-w06	6	23622	143699	10392750	3ece1dade4a2808fe39b5738b833027273cd051573d03de63c5f97d69969478d	7104785	84504e5f8f61597f390fc2f698cda9306e934b954fc22eb12bf896c3a0224c22	470136	8e3e025c39bc1e2d7d2526b0a3d69710dc8a2b7c1d4af8861305e4cdd324dc44	254682234	330581446	certificates/m6-b7-l6-hard-witness-no-gain-leaf-021.lrat.xz
022	o06-w00	6	23622	143699	10392750	f4c22fb37d5f0ecdc60d624184d9d35359e4123e1863322b1c2aeed0c26db1bd	14906106	9dd438db83deb88f673a91fb39ee6cd0d7a771fefd0f356908c69ad5ba496e32	1404768	e87108aaab8584c257e1342c7e0a146638d5bda60746178e6e84deee9add3e45	662361452	470874460	certificates/m6-b7-l6-hard-witness-no-gain-leaf-022.lrat.xz
