m6-b7-l6-hard-witness-positive-gain-coordinate-grouped-residual-v1
singleton-certificate-ledger-bytes	72132
singleton-certificate-ledger-sha256	bdad79d28b22d2b48ed0aef779765a6aafed752227c1952da36a8e180b48ca3d
singleton-certificate-verifier-bytes	16978
singleton-certificate-verifier-sha256	ca3205e94f01b3b6e551373bad75333130a5d82bf3bc7cdf2e00f92be55e2d08
singleton-certificate-scope	exactly the 127 ordered LRAT rows accepted by the bound verifier
disjunction-equivalence	per frozen residual leaf, checked singleton UNSAT members are false; the surviving exact-parent disjunction is equivalent
selector-rebuild	remove the complete old selector ALO/guard layer; add surviving ALO, pairwise AMO, and 153 guarded projection clauses per survivor
leaves	153
selectors	1255
width-distribution	1x1,3x2,2x3,38x4,109x10
columns	leaf-ordinal,key,width,certified-memberships,surviving-memberships,variables,clauses
000	o00-w00-c17	2	0000,0002,0003,0005	0001,0004	23618	143056
001	o01-w00-c16	4	0007,0010	0006,0008,0009,0011	23620	143368
002	o01-w00-c17	4	0013,0016	0012,0014,0015,0017	23620	143368
003	o01-w01-c16	4	0019,0022	0018,0020,0021,0023	23620	143368
004	o01-w01-c17	4	0025,0028	0024,0026,0027,0029	23620	143368
005	o01-w02-c16	4	0031,0034	0030,0032,0033,0035	23620	143368
006	o01-w02-c17	4	0037,0040	0036,0038,0039,0041	23620	143368
007	o01-w03-c16	4	0043,0046	0042,0044,0045,0047	23620	143368
008	o01-w03-c17	4	0049,0052	0048,0050,0051,0053	23620	143368
009	o01-w04-c16	4	0055,0058	0054,0056,0057,0059	23620	143368
010	o01-w04-c17	4	0061,0064	0060,0062,0063,0065	23620	143368
011	o02-w00-c16	4	0067,0070	0066,0068,0069,0071	23620	143368
012	o02-w00-c17	4	0073,0076	0072,0074,0075,0077	23620	143368
013	o02-w01-c16	4	0079,0082	0078,0080,0081,0083	23620	143368
014	o02-w01-c17	4	0085,0088	0084,0086,0087,0089	23620	143368
015	o02-w02-c16	4	0091,0094	0090,0092,0093,0095	23620	143368
016	o02-w02-c17	4	0097,0100	0096,0098,0099,0101	23620	143368
017	o03-w00-c17	4	0103,0105	0102,0104,0106,0107	23620	143368
018	o03-w01-c16	4	0109,0111	0108,0110,0112,0113	23620	143368
019	o03-w02-c17	4	0115,0117	0114,0116,0118,0119	23620	143368
020	o03-w03-c17	4	0121,0123	0120,0122,0124,0125	23620	143368
021	o03-w04-c16	4	0127,0129	0126,0128,0130,0131	23620	143368
022	o04-w00-c17	2	0132,0134,0136,0137	0133,0135	23618	143056
023	o05-w00-c16	4	0139,0141	0138,0140,0142,0143	23620	143368
024	o05-w00-c17	4	0145,0147	0144,0146,0148,0149	23620	143368
025	o05-w01-c16	4	0151,0153	0150,0152,0154,0155	23620	143368
026	o05-w01-c17	4	0157,0159	0156,0158,0160,0161	23620	143368
027	o05-w02-c16	4	0163,0165	0162,0164,0166,0167	23620	143368
028	o05-w03-c16	4	0169,0171	0168,0170,0172,0173	23620	143368
029	o05-w04-c16	4	0175,0177	0174,0176,0178,0179	23620	143368
030	o05-w05-c16	4	0181,0183	0180,0182,0184,0185	23620	143368
031	o05-w06-c16	4	0187,0189	0186,0188,0190,0191	23620	143368
032	o06-w00-c16	4	0193,0195	0192,0194,0196,0197	23620	143368
033	o06-w00-c17	4	0199,0201	0198,0200,0202,0203	23620	143368
034	o06-w01-c16	4	0205,0207	0204,0206,0208,0209	23620	143368
035	o06-w02-c16	4	0211,0213	0210,0212,0214,0215	23620	143368
036	o06-w03-c16	4	0217,0219	0216,0218,0220,0221	23620	143368
037	o08-w00-c17	4	0222,0224,0225,0228,0229,0231	0223,0226,0227,0230	23620	143367
038	o11-w00-c16	3	0232,0233,0234,0236,0238,0240,0241	0235,0237,0239	23619	143211
039	o12-w00-c16	10		0242,0243,0244,0245,0246,0247,0248,0249,0250,0251	23626	144325
040	o12-w00-c17	10		0252,0253,0254,0255,0256,0257,0258,0259,0260,0261	23626	144325
041	o12-w01-c16	10		0262,0263,0264,0265,0266,0267,0268,0269,0270,0271	23626	144325
042	o12-w01-c17	10		0272,0273,0274,0275,0276,0277,0278,0279,0280,0281	23626	144325
043	o12-w02-c16	10		0282,0283,0284,0285,0286,0287,0288,0289,0290,0291	23626	144325
