m6-b7-l6-hard-witness-positive-gain-coordinate-residual-singleton-parent-v1
residual-manifest-bytes	13269
residual-manifest-sha256	ed2f787c0a10ecb5663479db61446ce36bfb5d75cc39bb3f48e2bb8cddf79706
residual-hash-ledger-bytes	17655
residual-hash-ledger-sha256	785268882c06117261f99ab6efabd4e4d61ce9565dc5c87a08273ed47607c96a
residual-producer-bytes	10609
residual-producer-sha256	b4359639f46a2eff5a99a41b43f268d02af17749a88187d81cc31a69b31c8d52
residual-checker-bytes	12276
residual-checker-sha256	53d9e62e6fd4c99a9891785f50242087a630fe9ef9dafba82d15db722f5cbe8e
coordinate-certificates-bytes	9990
coordinate-certificates-sha256	19d3d8e1a3f5e11545ae6095b1cc74b674512d59b12f2212d19c34fbb9b976f3
positive-gain-certificates-bytes	3687
positive-gain-certificates-sha256	ab44c6fccf70dc5bae6b30b82f9e3983fe9c065b82d8301db3fc76bac13e5b59
no-gain-certificates-bytes	26475
no-gain-certificates-sha256	f780c44424d7925b3b2a1e3d7ee1cbc757a7fc0b1daf14264d9699cc9d1532ec
witness-orbit-certificates-bytes	6987
witness-orbit-certificates-sha256	cd46a986097405c2d270f15f2525df67e586cc53137e09ef5eafeafd42f2bd02
state-certificates-bytes	5030
state-certificates-sha256	037a4a6e51ef5cd76dc070bd461481ef90ac5520a875c0a96973c60f991172c7
residual-leaves	153
memberships	1382
split	one CNF per residual membership with a positive unit selecting its exact parent
selector-cover	for each residual leaf, all parent selectors exactly once
selector-disjoint	distinct guarded parent hole projections are incompatible
selector-exhaustive	the residual leaf parent-selector ALO supplies at least one selector
proof-status	scout-only; no LRAT generated or committed
columns	membership-ordinal,key,residual-leaf-ordinal,residual-key,parent-ordinal,accepted-ordinal,cover-index,parent-fingerprint,selector,variables,clauses
0000	r000-o00-w00-c17-p00-a24090	000	o00-w00-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143668
0001	r000-o00-w00-c17-p01-a24118	000	o00-w00-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143668
0002	r000-o00-w00-c17-p02-a24123	000	o00-w00-c17	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143668
0003	r000-o00-w00-c17-p03-a28682	000	o00-w00-c17	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143668
0004	r000-o00-w00-c17-p04-a28744	000	o00-w00-c17	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143668
0005	r000-o00-w00-c17-p05-a28749	000	o00-w00-c17	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143668
0006	r001-o01-w00-c16-p00-a24090	001	o01-w00-c16	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0007	r001-o01-w00-c16-p01-a24118	001	o01-w00-c16	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
0008	r001-o01-w00-c16-p02-a24123	001	o01-w00-c16	02	24123	113021	4891dd1c9d26fbf0707880426a348f51cd3d54eeefbeab3ed8a09e6eadcc4eed	23619	23622	143669
0009	r001-o01-w00-c16-p03-a28682	001	o01-w00-c16	03	28682	119452	80515059d667d6e7a977a5a52df5c2b444b58e8bdf58a4da3e313f0e7c74a238	23620	23622	143669
0010	r001-o01-w00-c16-p04-a28744	001	o01-w00-c16	04	28744	119564	f24380facb4f1918e2dde9a19134b0434786a63c38df9f084ac88cb4c4bbe181	23621	23622	143669
0011	r001-o01-w00-c16-p05-a28749	001	o01-w00-c16	05	28749	119573	62f434a79e6e532a4ad435526128642119aeb6a8cc5d5b41fba6cccac425c4a6	23622	23622	143669
0012	r002-o01-w00-c17-p00-a24090	002	o01-w00-c17	00	24090	112962	75c1e7e4f1c7e2db015e55e1c48bfe58d995d6b843021c814235e8ac30b084bb	23617	23622	143669
0013	r002-o01-w00-c17-p01-a24118	002	o01-w00-c17	01	24118	113012	de0b2778111155cd83df70dc860696b2e0a36e1d9aa2edc5908ab4c96d99e390	23618	23622	143669
