m6-b7-l6-state-certificates-v1
generated-utc	2026-08-05
scope	frozen-B7-l6-scout-UNSAT-only
timing-clock	Python time.monotonic_ns
state-manifest-bytes	4382
state-manifest-sha256	a3b8f9d17b50dbfccd5f00740b33c6e90f6f10d26a3854dd627a45681e5c890e
cnf-hash-ledger-bytes	3163
cnf-hash-ledger-sha256	eec464838f7d01e6cf053c7cbf8fa1442068d78738f4bd2772b15a8417543ae4
scout-bytes	6948
scout-sha256	69c1d56145ec2544702717b252bd1e3796c882c68ca95023488b959e2af2f763
producer-bytes	15948
producer-sha256	544de152f692fc9f2b781f81de320e1d35a24a38d3225147212aa5d9609d2d1f
structural-checker-bytes	14637
structural-checker-sha256	a21959f914193fdb15f56f9b92ab4cddb2fed7cf6386a5ecc8c852c148925bb3
verifier-bytes	9498
verifier-sha256	bde13dc795bed177bbfeef99f2b9e3967d09ae52142fbf098cc6bcc8677f5fcc
solver	CaDiCaL 1.7.3
solver-source-commit	38e073b389a877b0a0d3c91136d2443ab95fdeba
solver-binary-sha256	108d1042b38ceae5cb71e4a806870c4f4d4b8ffdb48a124f2e1fb7b23d3a8292
solver-command	cadical --lrat --no-binary -q CNF LRAT
solver-required-exit	20
checker	lrat-check
checker-source-commit	2e3b2dc0ecf938addbd779d42877b6ed69d9a985
checker-binary-sha256	e9e71c96b68dc9ed22db35d7581e613e6b161ffbc82c20cba5699f8320a065b8
checker-required-output	c VERIFIED
compression	xz -3
compact-limit-xz-bytes	100000000
leaves	11
parents-incidences	90
total-lrat-bytes	194427307
total-xz-bytes	25946740
columns	leaf-ordinal,key,parents,variables,clauses,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,solve-nanoseconds,check-nanoseconds,artifact
00	h14-ch-m00-b03	6	23678	143850	10398250	8c805a8d0b1e7d909475cf9a4fffd6ccd88f2e78cede01b076fb8e82ae722eb4	19150627	6c2f7693466f53102bed5b9c32df6d603b7ab1b1cbe35c40ceeee67e63f2678a	2769668	5337862c3f8f7b694803c4d533ce546c7dee38bca851d0910c85edb625f84427	1542165480	554078171	certificates/m6-b7-l6-state-leaf-00.lrat.xz
02	h14-ch-m10-b13	6	23678	143851	10398258	d2b905aa02fb085592af294a4c965ff087c2c421c45f4aed2e8692716f24a12d	12345737	7b2f9eea502bb13794f9cd28ac41ca7f14424c391ab540d465e53c96d1edd133	1192528	b461e73a7cbd710317138fdeb0955c119bd749930a7fbb31f18d4b71060ca72d	918298353	427626690	certificates/m6-b7-l6-state-leaf-02.lrat.xz
04	h15-cf-m10-b04	6	23678	143850	10398251	6cf8973a10f84c5c9cc371a0ba9f615a8e9b98cebedacf5100dfb4b368bd687a	25309099	5d1ece64b6b0488a52fed75b2ff4679012363ce32715f1039baf88e7766b8998	3806460	c62216868f8c58ef486ca8aa3c00940a0bc2ac504b74e5581df6da69632f9a04	2131068146	671766510	certificates/m6-b7-l6-state-leaf-04.lrat.xz
06	h15-cr-m00-b03	6	23678	143850	10398252	efc5d792fe89c48bc493a330fa4a74526f49d229bc7a3b2cb569d08fde469405	13563645	9cfe5cfdda4e569ac934d6b280e6fdfd47132035d06186fdb4ea1cf1322d3f5d	1257024	7e23cb2e20e0b85ed303a4c8baa23d3157c6dde1e167fb343abb13842c8b8fb1	762880650	447342554	certificates/m6-b7-l6-state-leaf-06.lrat.xz
08	h15-cr-m10-b13	6	23678	143851	10398260	ce09ed3263228a39cbab38f6c733d5ec288978643b086d40f02c32f7ef7596d9	10691435	d027c0ab21157d08c1109c490b28f8c2e3a86c3436ca92b21222b90ab8cb24b7	1078296	963bbd49f22a680b8a8bfeb987c4755db9ddc248d0ad0ff5ebce117e0113853c	634832559	397477987	certificates/m6-b7-l6-state-leaf-08.lrat.xz
10	h23-ch-m00-b12	10	23682	144463	10408201	bf21a50bb66619b4f069f85c592056cef16464077beeb79671c4435ca1cd35c1	11990798	f701bbe80ce46351f882c2cc52d07e0e825c9e655fd7c002c38cff74a297bba6	1197216	b74b63784e5bfc994b898fc65b74fbe909ba4100f3bbdf7e52127d3c9f790772	837028450	420590395	certificates/m6-b7-l6-state-leaf-10.lrat.xz
14	h24-cf-m00-b03	10	23682	144462	10408194	a0f6fe7abfb659912282e300bec7b2775df05f88b208c69505e0c92ddc24e521	11057094	92a0407c954a303a13f71b4d030e135cd12ceb7feebc9ca552ede9a5d39464d1	925724	aa47ea182b8a2cb7dbbe44e902449ea6339ba60946eeaf38eac77bfc329d1bbd	500235293	410493920	certificates/m6-b7-l6-state-leaf-14.lrat.xz
16	h24-cf-m10-b13	10	23682	144463	10408202	26c50d303af8b171323d55e6b42f5808ad5607f5fe1e0f274b7ba4bc0abe303a	35291960	a91b4afa376f53337abb27d2fee9ea57b0e087db947453ffdbd65010d56f73ac	6038196	ec256b0d97032cac07f0e3f8b2696a59301dd68808767dbd4dd05e1463922b89	5993703200	873147421	certificates/m6-b7-l6-state-leaf-16.lrat.xz
18	h24-cr-m00-b12	10	23682	144463	10408203	eff542c0473d3b0d7b0e3fa02bbe83cbb1e2bbee72002cd5271581fd4ea421fb	12069608	66d0619f2b1bff18a4129718685e107b6d719c2d57fe14b8136f9a3bb9dfcf7d	1186052	4406d09f741898f7fb7ffdae6f27314eaab6b05d88c3409dbf74c1d51e32cd1d	828894293	424826546	certificates/m6-b7-l6-state-leaf-18.lrat.xz
22	h33-cf-m00-b12	10	23682	144463	10408203	5a11d0d718fb112ab9873efebceaa4dcea65eac84ca98f7c2b0f82fe158e541a	20763214	8e7038cb1536bde3c2a914c480864a6ff67b689424ff448dae7b376ec5135fb6	3206536	7f0c2be86907608f2dd0f7789d662b635a08be196b9e26c764fee2775866029e	1568984794	590889669	certificates/m6-b7-l6-state-leaf-22.lrat.xz
