m6-b7-l6-state-split-v1
clean-parent-manifest-bytes	1838
clean-parent-manifest-sha256	6e7eee0ddd5b4c7ef02cdf459c9a0647f720513e7ee4987a3a8b0c17af37eeda
clean-remaining-stream-bytes	2262190
clean-remaining-stream-sha256	416b7e51a73637784342a374be8e15a1a58032b61fc1140f39f0768d1ff4b642
clean-partition-manifest-bytes	2104
clean-partition-manifest-sha256	733e06c8aa9881e0006409efff23729f1bf88d8af7b1a70e8a78fd3775b53217
clean-sink-theorem-bytes	4156
clean-sink-theorem-sha256	bd0631529bb4658061663460b718ef2ee3186d02fdc599fb2673d3cff3b94ee2
clean-group-producer-bytes	11550
clean-group-producer-sha256	9eb6455daf71a2127f76a197012c2e0f4a7c7f42021ddfcfbe244f9f733ed817
clean-group-checker-bytes	14918
clean-group-checker-sha256	07d2ac0802c8d9fc854e8c5e10ef0e1a67f54dda2c06c1a71bf69465390ee536
parent-group	B7-l6
parents	42
incidences	260
leaves	30
columns	leaf-ordinal,key,h16,h17,internal,high-mask,cb16,cb17,parents,variables,clauses,member-sha256
00	h14-ch-m00-b03	1	4	h	00	0	3	6	23678	143850	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
01	h14-ch-m01-b04	1	4	h	01	0	4	6	23678	143850	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
02	h14-ch-m10-b13	1	4	h	10	1	3	6	23678	143851	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
03	h14-ch-m11-b14	1	4	h	11	1	4	6	23678	143851	668b9693c95b5f816d844c519a46276576edb8c96b88b1b5f150ff5becbcd17e
04	h15-cf-m10-b04	1	5	16>17	10	0	4	6	23678	143850	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
05	h15-cf-m11-b05	1	5	16>17	11	0	5	6	23678	143850	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
06	h15-cr-m00-b03	1	5	17>16	00	0	3	6	23678	143850	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
07	h15-cr-m01-b04	1	5	17>16	01	0	4	6	23678	143850	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
08	h15-cr-m10-b13	1	5	17>16	10	1	3	6	23678	143851	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
09	h15-cr-m11-b14	1	5	17>16	11	1	4	6	23678	143851	548a800b958e50534c6496217342dd6236eefeed900e5333fb808203d4836689
