m6-clean-sink-selector-groups-v1
remaining-stream-bytes	2262190
remaining-stream-sha256	416b7e51a73637784342a374be8e15a1a58032b61fc1140f39f0768d1ff4b642
clean-sink-manifest-bytes	2104
clean-sink-manifest-sha256	733e06c8aa9881e0006409efff23729f1bf88d8af7b1a70e8a78fd3775b53217
clean-sink-theorem-bytes	4156
clean-sink-theorem-sha256	bd0631529bb4658061663460b718ef2ee3186d02fdc599fb2673d3cff3b94ee2
forced-certificate-ledger-bytes	4060
forced-certificate-ledger-sha256	819cc1c2015923d2ef59649028a34a841641519e5c46ef7559698720e18f5c65
forced-certificate-verifier-bytes	5794
forced-certificate-verifier-sha256	d2e15b03ba68e6222cf140e0f742f2c1ae627e7ae0f1f657966bf8c48d51cebf
forced-selector-manifest-bytes	1611
forced-selector-manifest-sha256	6cf29f05bc2d76437c10b8c19e173c6d8c666f8001a3b1504ab1cf108932a29c
groups	8
parents	18862
source-memberships	46164
mixed-parents	0
columns	group-ordinal,key,branch,lambda,parents,first-selector,last-selector,variables,clauses,member-sha256
0	B6-l4	B6	4	2470	23617	26086	26086	520647	12e5cd0f3dfe09a4ceca3c148a964ba1ff1d89aec9bffd35e400a759c43664c5
1	B6-l5	B6	5	1024	23617	24640	24640	299409	b3e404e6f2018a5e3b123238aacbb6dbe051eb3c50b0c4b6714e2053c634bfd3
2	B6-l6	B6	6	220	23617	23836	23836	176397	ec529204cdcc960318c97b19cfee13154dec2730481893cdfefcd5ab0312e16f
3	B7-l2	B7	2	8119	23617	31735	31735	1384937	6394b8aceac39dca615cba2eb4688c75b4b2c34d7b18ae3ce527b4799977b358
4	B7-l3	B7	3	5016	23617	28632	28632	910178	2c38226d98dc95a7cb7a9b2ee6ce380e0912c2ea414d200938bd866474473ea1
5	B7-l4	B7	4	1649	23617	25265	25265	395027	27335655d35b2c564b84f7e38fbef841c7614f88cf7aff22e4aec9a305431332
6	B7-l5	B7	5	322	23617	23938	23938	191996	faa2178dd94520610a49ded38118c6f1b148511b745226c596e5f3d8b7fc5f20
7	B7-l6	B7	6	42	23617	23658	23658	149156	3302e75e4f2b4192bc8c822fe02f171d5025372bb44dfb36c5defd33379a81fe
