m6-forced-group-certificates-v1
generated-utc	2026-07-31
timing-clock	Python time.monotonic
compression	xz -3
solver	CaDiCaL 1.7.3
solver-source-commit	38e073b389a877b0a0d3c91136d2443ab95fdeba
solver-binary-sha256	753df0f8b811bb85887fe24cbff7427c33125e39778970f38953a60e5e168a9a
solver-command	cadical --lrat --no-binary -q CNF LRAT
solver-required-exit	20
checker	lrat-check
checker-source-commit	2e3b2dc0ecf938addbd779d42877b6ed69d9a985
checker-binary-sha256	e9e71c96b68dc9ed22db35d7581e613e6b161ffbc82c20cba5699f8320a065b8
checker-required-output	c VERIFIED
group-manifest-sha256	6cf29f05bc2d76437c10b8c19e173c6d8c666f8001a3b1504ab1cf108932a29c
groups	9
rows	31568
total-xz-bytes	9444352
columns	group,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,generate-seconds,structure-seconds,solve-seconds,check-seconds,compress-seconds,artifact
B6-q0	26017359	5ccfa4331ed41a0c84dcf929ffc6577909a46d7f242541f92d0d10d2c5b85be4	16686871	a8fc1054031f030b4b141e4ac2c4ec1360ff545dc68d762417623a3bee6feeac	1235532	4370ea191b4b54bfd7b91ac76b74dede18e87ac446aecaa37020bc86ae667d9d	7.82194815999901	9.731958668999141	2.539356229997793	0.7643733859986241	1.7116253019994474	certificates/m6-forced-B6-q0.lrat.xz
B6-q1	24163798	48e329579dd571caedce0eb76bb23bb1dc14fe1e3f6ce8f2067e2eb43f778501	28550983	abdce306e11e207a2a172d744bab14d022cd66ff061d71b1da2c1454b796471e	2476072	3a9fbba8f49ea60f2d5d29447355d6084e19645ed404617992ad21992bd9e10b	7.6604985800004215	9.281943998001225	3.012979203998839	0.9271287839983415	3.1623806950010476	certificates/m6-forced-B6-q1.lrat.xz
B6-q2	16373870	1b012dadc1a00d582269880496bd4b118317a3d7291d6b58ec69792d847f1560	8786355	9ff04af7772cded9f150657be989b448745b9330791053f3a21f4bb1b90f87fa	576768	b4d473303be6ca26ef4d9cc8af48963f72a252e3451b4aff9348ba018d823898	6.945750142000179	7.676309853999555	0.8707823219992861	0.4627570199991169	0.6672011179980473	certificates/m6-forced-B6-q2.lrat.xz
B6-q3	11402845	634fa13de3c0fbcb5e1040f1366bef8a8c2317783952bf1127d83bf742f11f4a	9466542	90546777fdb7f628b32397ea6ecd9ee53d6868aab49301e6c16035a318a924d7	712016	04397aa41d78db3539d7b0f9deef9a3132297e1a438492f473ea1b35ad5e7a2e	6.4583349249987805	6.649104514999635	0.375091688001703	0.40272802300023613	0.8237038549996214	certificates/m6-forced-B6-q3.lrat.xz
B7-q1	34205308	0c20f6aa2ad10bb0f43c316fd5d0ce0c0e70d027ebfa6cc0cb26774ad13a84f9	22403212	e60d64475bed17c6b34a211aecd2384bf950ae6defcd35c9886786440dc54a66	1372120	65c28238293af86088c473f1d9ae16eadc8996d5632e0608e9841fead7dff3ae	8.593100948000938	11.405359388998477	4.176234120997833	1.0165165709986468	1.7133515019995684	certificates/m6-forced-B7-q1.lrat.xz
B7-q2	23890059	dd86e95528cf0d8167522c1865741063d1cd95a227777514c9799747a0eeae25	19001427	28c091da0714c5d630b8e8af81e46a7cdac2edaf5d9c53c6b7ea2d45ec93a770	1262512	2cf3787783eec09f29010b34ffe656ab7a1583e4ecda7d9901d8548089a802a8	7.633338660001755	9.258730347999517	2.082814204000897	0.7756219429975317	1.5046947139999247	certificates/m6-forced-B7-q2.lrat.xz
B7-q3	14318723	eb39b1abbd7abd8e7db13c9de89b3c6984f574e365d309a014a1d45ff2a9e08d	12742634	01234d566e66dc622115bedc4bb199caf43f7958b69dbdeca1a9042dc4bc1422	835792	015d8e470697cbe2a2129b632d05dff89bca0e210a9514d40786ad905163f717	6.726744986997801	7.244362679997721	0.687895508002839	0.4938248839971493	1.0776385880017187	certificates/m6-forced-B7-q3.lrat.xz
B7-q4	11116666	9ff7b0206e2c35ba3f3abaf36302e0493330e92a6244537b0640d2299a295be2	7389714	f8224377ee2dd77cf994f2108a3b1514b054ae0f1be69b67c870a36919cfadb9	493060	029cdf287f20b92572cb28b6193e0c5949b6bcd4b15d68ce514146231a35b6c1	6.464543219997722	6.609450127998571	0.30190293500345433	0.3452383550029481	0.549911988000531	certificates/m6-forced-B7-q4.lrat.xz
B7-q5	10452369	bdb81f13e64f9e7ac0df95bea013ff78147ac03dac8e50751b903bebb88b6e84	7167455	7a082fafd5a72c3a8411691d2a03ee1f7a1477f0ad5ae25d9756080ce0c1fb56	480480	40fd22ef09c29c478362dd12c995f335870ca2820b3a5bf9aaffa870adfb1d1f	6.402647681999952	6.423266808000335	0.24720715999865206	0.32740392699997756	0.5350953970009868	certificates/m6-forced-B7-q5.lrat.xz
