m6-residual-group-certificates-v1
generated-utc	2026-08-01
timing-clock	Python time.monotonic
compression	xz -3
solver	CaDiCaL 1.7.3
solver-source-commit	38e073b389a877b0a0d3c91136d2443ab95fdeba
solver-binary-sha256	108d1042b38ceae5cb71e4a806870c4f4d4b8ffdb48a124f2e1fb7b23d3a8292
solver-command	cadical --lrat --no-binary -q CNF LRAT
solver-required-exit	20
checker	lrat-check
checker-source-commit	2e3b2dc0ecf938addbd779d42877b6ed69d9a985
checker-binary-sha256	e9e71c96b68dc9ed22db35d7581e613e6b161ffbc82c20cba5699f8320a065b8
checker-required-output	c VERIFIED
group-manifest-bytes	3915
group-manifest-sha256	b55f0b8e69a77b64254285b9134262cedb961e18a13ad10e4ce350bd04caa85a
groups	4
memberships	15310
total-lrat-bytes	185575145
total-xz-bytes	23309904
columns	group,members,cnf-bytes,cnf-sha256,lrat-bytes,lrat-sha256,xz-bytes,xz-sha256,generate-seconds,structure-seconds,solve-seconds,check-seconds,compress-seconds,artifact
B6-l4-r0-t2	6679	27026446	d084873ba4f0e5f4c04777b9a49cecbc395ba3c552038c0301c26a21c8a6e62f	50806240	18ba277269a84732aa94a98508f3de7ec81b19e787011ccefdf5586e76fa928f	5141792	bdf848d4d393f135801c3713df7271c1d14699fdba927338346817c23556236c	12.143060294998577	17.405763676011702	9.187026072002482	1.3509844969958067	6.951031476011849	certificates/m6-residual-B6-l4-r0-t2.lrat.xz
B6-l4-r1-t3	6679	27026445	541f990890cb268d8a02a579ca56568e852d914ca8d9f793b4ca54e793ff7b19	69755537	cd5c05757ad81b07b0577960a74ff48015ce66b3cfa32f156ab5b7d3bbf628f9	8979428	db22c1b4733f33723e62155a7cf255a1bde2ddcf8b031378ef5be4598404c683	11.282991297994158	19.904010373007623	9.823365064992686	1.7569178789999569	11.535569055995438	certificates/m6-residual-B6-l4-r1-t3.lrat.xz
B6-l5-r2-t3	1910	15151634	3133a0f4254e60b2edb26beb999ee5310dba02a525e6e86b7b1f394afaa31ac0	31119472	e84740d261dfdad0327c491287528cd003023e523f1b80c7d2d47cedc2fbc929	3681848	84037df40fef8365aa3da975a9a3b65a40795a697661cb37c941ac7ac159f4be	13.800996352001675	19.161535914012347	3.5299033960036468	0.8559141129953787	4.076541372007341	certificates/m6-residual-B6-l5-r2-t3.lrat.xz
B7-l6-r3-t0	42	10493131	e8af05abc8ef494227c6bd5aa0790f7bfc15a67280fcd022e0068cdab259838d	33893896	c719f399432bf5de8bbb06c0214a1f18bf092b8b1d01c7c33c587d5a186409d5	5506836	c70e207acd0b01ca10393d96557a473a940ce3c2c1bc2e4773915f2dc1867bf9	10.991738803000771	16.575128719996428	4.503850977998809	0.82667821799987	5.101899397996021	certificates/m6-residual-B7-l6-r3-t0.lrat.xz
