m6-support-census-v1
edges	6
count	68
orders	4:1,5:5,6:15,7:20,8:15,9:7,10:3,11:1,12:1
000	4	C~
001	5	DB{
002	5	DFw
003	5	DJk
004	5	DK{
005	5	DLs
006	6	E?Fw
007	6	E?NW
008	6	E?No
009	6	E?]o
010	6	E@NG
011	6	E@Qw
012	6	E@UW
013	6	E@Ug
014	6	E@Uo
015	6	E@V_
016	6	E@^?
017	6	E@rO
018	6	EBj?
019	6	E_Kw
020	6	EwCW
021	7	F??Fw
022	7	F??Ng
023	7	F??^G
024	7	F??^O
025	7	F??}O
026	7	F?CeW
027	7	F?CmG
028	7	F?Cm_
029	7	F?DdO
030	7	F?LS_
031	7	F?LT?
032	7	FW?Gw
033	7	FW?Wo
034	7	F_?Hw
035	7	F_?XW
036	7	F_?Xo
037	7	F_CXG
038	7	F_Ch_
039	7	Fw??w
040	7	Fw?Gg
041	8	GF???[
042	8	GF??GS
043	8	GL??GS
044	8	GW???{
045	8	GW??Gs
046	8	GW??Wg
047	8	G_??@{
048	8	G_??Hs
049	8	G_??Xc
050	8	G_??Xg
051	8	G_?G`K
052	8	G_?GhO
053	8	G_K?GK
054	8	G`??G[
055	8	G`??WW
056	9	HW?W??B
057	9	H_K???F
058	9	H_K??CD
059	9	H`????N
060	9	H`???CL
061	9	H`???KI
062	9	H`?G?CB
063	10	I`??W???W
064	10	I`?G????w
065	10	I`?G??@?g
066	11	J`?G?C???@_
067	12	K`?G?C??G??@
