q,D,epsilon,a,weight,numerator,denominator
3823,-3823,-1,2,2,-122,1
3823,-3823,-1,3,3,57,1
3823,-3823,-1,4,4,469,2
3823,-3823,-1,5,2,265,2
3823,-3823,-1,6,5,-57,1
3823,-3823,-1,7,3,-51,1
3823,-3823,-1,8,6,-265,2
3823,-3823,-1,9,6,122,1
3823,-3823,-1,10,4,-469,2
3823,-3823,-1,11,1,-55,2
3823,-3823,-1,13,1,-17,2
3823,-3823,-1,14,5,51,1
8317,8317,1,2,2,-41,1
8317,8317,1,3,3,251,2
8317,8317,1,4,4,-229,2
8317,8317,1,5,2,-52,1
8317,8317,1,6,5,275,2
8317,8317,1,7,3,132,1
8317,8317,1,8,6,-132,1
8317,8317,1,9,6,-251,2
8317,8317,1,10,4,-275,2
8317,8317,1,11,1,37,2
8317,8317,1,13,1,-37,2
8317,8317,1,14,5,229,2
