q,D,epsilon,a,weight,numerator,denominator
8191,-8191,-1,2,2,-86,1
8191,-8191,-1,3,3,-229,2
8191,-8191,-1,4,4,255,2
8191,-8191,-1,5,2,-152,1
8191,-8191,-1,6,5,81,2
8191,-8191,-1,7,3,15,2
8191,-8191,-1,8,6,-255,2
8191,-8191,-1,9,6,-208,1
8191,-8191,-1,10,4,208,1
8191,-8191,-1,11,1,152,1
8191,-8191,-1,13,1,86,1
8191,-8191,-1,14,5,-81,2
10949,10949,1,2,2,-282,1
10949,10949,1,3,3,-241,2
10949,10949,1,4,4,-433,2
10949,10949,1,5,2,359,1
10949,10949,1,6,5,-721,2
10949,10949,1,7,3,155,2
10949,10949,1,8,6,433,2
10949,10949,1,9,6,-253,1
10949,10949,1,10,4,253,1
10949,10949,1,11,1,-359,1
10949,10949,1,13,1,282,1
10949,10949,1,14,5,721,2
19559,-19559,-1,2,2,21,1
19559,-19559,-1,3,3,167,2
19559,-19559,-1,4,4,447,2
19559,-19559,-1,5,2,293,1
19559,-19559,-1,6,5,145,2
19559,-19559,-1,7,3,621,2
19559,-19559,-1,8,6,-447,2
19559,-19559,-1,9,6,166,1
19559,-19559,-1,10,4,-166,1
19559,-19559,-1,11,1,-293,1
19559,-19559,-1,13,1,-21,1
19559,-19559,-1,14,5,-145,2
31963,-31963,-1,2,2,48,1
31963,-31963,-1,3,3,58,1
31963,-31963,-1,4,4,-77,2
31963,-31963,-1,5,2,45,2
31963,-31963,-1,6,5,-58,1
31963,-31963,-1,7,3,-45,1
31963,-31963,-1,8,6,-45,2
31963,-31963,-1,9,6,-48,1
31963,-31963,-1,10,4,77,2
31963,-31963,-1,11,1,-259,2
31963,-31963,-1,13,1,93,2
31963,-31963,-1,14,5,45,1
