q,D,epsilon,a,weight,numerator,denominator
34679,-34679,-1,2,2,-47,1
34679,-34679,-1,3,3,120,1
34679,-34679,-1,4,4,371,2
34679,-34679,-1,5,2,-551,2
34679,-34679,-1,6,5,-120,1
34679,-34679,-1,7,3,158,1
34679,-34679,-1,8,6,551,2
34679,-34679,-1,9,6,47,1
34679,-34679,-1,10,4,-371,2
34679,-34679,-1,11,1,-363,2
34679,-34679,-1,13,1,-303,2
34679,-34679,-1,14,5,-158,1
39439,-39439,-1,2,2,-366,1
39439,-39439,-1,3,3,594,1
39439,-39439,-1,4,4,350,1
39439,-39439,-1,5,2,-594,1
39439,-39439,-1,6,5,-500,1
39439,-39439,-1,7,3,366,1
39439,-39439,-1,8,6,-68,1
39439,-39439,-1,9,6,68,1
39439,-39439,-1,10,4,245,1
39439,-39439,-1,11,1,-350,1
39439,-39439,-1,13,1,-245,1
39439,-39439,-1,14,5,-555,1
45053,45053,1,2,2,41,1
45053,45053,1,3,3,-173,2
45053,45053,1,4,4,-159,2
45053,45053,1,5,2,-44,1
45053,45053,1,6,5,131,2
45053,45053,1,7,3,-73,2
45053,45053,1,8,6,159,2
45053,45053,1,9,6,58,1
45053,45053,1,10,4,-58,1
45053,45053,1,11,1,44,1
45053,45053,1,13,1,-41,1
45053,45053,1,14,5,-131,2
66179,-66179,-1,2,2,896,1
66179,-66179,-1,3,3,802,1
66179,-66179,-1,4,4,1341,1
66179,-66179,-1,5,2,-802,1
66179,-66179,-1,6,5,30,1
66179,-66179,-1,7,3,-896,1
66179,-66179,-1,8,6,995,1
66179,-66179,-1,9,6,-995,1
66179,-66179,-1,10,4,-1079,1
66179,-66179,-1,11,1,-1341,1
66179,-66179,-1,13,1,1079,1
66179,-66179,-1,14,5,-252,1
77617,77617,1,2,2,17,1
77617,77617,1,3,3,9,2
77617,77617,1,4,4,1137,2
77617,77617,1,5,2,280,1
77617,77617,1,6,5,959,2
77617,77617,1,7,3,875,2
77617,77617,1,8,6,-1137,2
77617,77617,1,9,6,192,1
77617,77617,1,10,4,-192,1
77617,77617,1,11,1,-280,1
77617,77617,1,13,1,-17,1
77617,77617,1,14,5,-959,2
99709,99709,1,2,2,-199,2
99709,99709,1,3,3,-729,2
99709,99709,1,4,4,199,2
99709,99709,1,5,2,35,2
99709,99709,1,6,5,-107,1
99709,99709,1,7,3,729,2
99709,99709,1,8,6,-61,1
99709,99709,1,9,6,165,2
99709,99709,1,10,4,-35,2
99709,99709,1,11,1,107,1
99709,99709,1,13,1,-349,1
99709,99709,1,14,5,349,1
103811,-103811,-1,2,2,1353,2
103811,-103811,-1,3,3,-226,1
103811,-103811,-1,4,4,226,1
103811,-103811,-1,5,2,-837,2
103811,-103811,-1,6,5,-1353,2
103811,-103811,-1,7,3,253,1
103811,-103811,-1,8,6,-30,1
103811,-103811,-1,9,6,-255,2
103811,-103811,-1,10,4,-253,1
103811,-103811,-1,11,1,255,2
103811,-103811,-1,13,1,30,1
103811,-103811,-1,14,5,837,2
109789,109789,1,2,2,135,1
109789,109789,1,3,3,46,1
109789,109789,1,4,4,-173,2
109789,109789,1,5,2,295,2
109789,109789,1,6,5,-46,1
109789,109789,1,7,3,-112,1
109789,109789,1,8,6,-295,2
109789,109789,1,9,6,-135,1
109789,109789,1,10,4,173,2
109789,109789,1,11,1,-589,2
109789,109789,1,13,1,-123,2
109789,109789,1,14,5,112,1
114311,-114311,-1,2,2,-589,2
114311,-114311,-1,3,3,735,2
114311,-114311,-1,4,4,589,2
114311,-114311,-1,5,2,-347,2
114311,-114311,-1,6,5,715,1
114311,-114311,-1,7,3,-735,2
114311,-114311,-1,8,6,230,1
114311,-114311,-1,9,6,-563,2
114311,-114311,-1,10,4,347,2
114311,-114311,-1,11,1,-715,1
114311,-114311,-1,13,1,44,1
114311,-114311,-1,14,5,-44,1
