q,D,epsilon,a,weight,numerator,denominator
11831,-11831,-1,2,2,319,1
11831,-11831,-1,3,3,335,1
11831,-11831,-1,4,4,531,1
11831,-11831,-1,5,2,-335,1
11831,-11831,-1,6,5,90,1
11831,-11831,-1,7,3,-319,1
11831,-11831,-1,8,6,480,1
11831,-11831,-1,9,6,-480,1
11831,-11831,-1,10,4,-450,1
11831,-11831,-1,11,1,-531,1
11831,-11831,-1,13,1,450,1
11831,-11831,-1,14,5,-127,1
#RESULT,q=11831,total_num=74,total_den=1,c_mod_7=4,status=NONZERO,model=[1, 0, 0, -2916095, -1657932296654],change=[1, 986, 1, 493]
14897,14897,1,2,2,-81,2
14897,14897,1,3,3,20,1
14897,14897,1,4,4,-20,1
14897,14897,1,5,2,21,2
14897,14897,1,6,5,81,2
14897,14897,1,7,3,21,1
14897,14897,1,8,6,32,1
14897,14897,1,9,6,-87,2
14897,14897,1,10,4,-21,1
14897,14897,1,11,1,87,2
14897,14897,1,13,1,-32,1
14897,14897,1,14,5,-21,2
#RESULT,q=14897,total_num=-17,total_den=2,c_mod_7=2,status=NONZERO,model=[1, 1, 1, -4623346, 3309775718416],change=[1, -1241, 1, -620]
48889,48889,1,2,2,106,1
48889,48889,1,3,3,-75,1
48889,48889,1,4,4,291,2
48889,48889,1,5,2,121,2
48889,48889,1,6,5,75,1
48889,48889,1,7,3,-135,1
48889,48889,1,8,6,-121,2
48889,48889,1,9,6,-106,1
48889,48889,1,10,4,-291,2
48889,48889,1,11,1,-59,2
48889,48889,1,13,1,-131,2
48889,48889,1,14,5,135,1
#RESULT,q=48889,total_num=-341,total_den=1,c_mod_7=2,status=NONZERO,model=[1, 0, 0, -49794465, 116986517203186],change=[1, -4074, 1, -2037]
