q,D,epsilon,a,dlog2,numerator,denominator
1499,-1499,-1,1,0,-13,2
1499,-1499,-1,2,1,-9,2
1499,-1499,-1,3,5,7,1
1499,-1499,-1,4,2,-7,1
1499,-1499,-1,5,22,41,2
1499,-1499,-1,6,6,9,2
1499,-1499,-1,7,12,-5,1
1499,-1499,-1,8,3,14,1
1499,-1499,-1,9,10,65,2
1499,-1499,-1,10,23,5,1
1499,-1499,-1,11,25,-65,2
1499,-1499,-1,12,7,13,2
1499,-1499,-1,13,18,-14,1
1499,-1499,-1,14,13,-41,2
1499,-1499,-1,15,27,-41,2
1499,-1499,-1,16,4,-14,1
1499,-1499,-1,17,21,13,2
1499,-1499,-1,18,11,-65,2
1499,-1499,-1,19,9,5,1
1499,-1499,-1,20,24,65,2
1499,-1499,-1,21,17,14,1
1499,-1499,-1,22,26,-5,1
1499,-1499,-1,23,20,9,2
1499,-1499,-1,24,8,41,2
1499,-1499,-1,25,16,-7,1
1499,-1499,-1,26,19,7,1
1499,-1499,-1,27,15,-9,2
1499,-1499,-1,28,14,-13,2
29023,-29023,-1,1,0,226,1
29023,-29023,-1,2,1,-226,1
29023,-29023,-1,3,5,23,2
29023,-29023,-1,4,2,343,2
29023,-29023,-1,5,22,241,1
29023,-29023,-1,6,6,249,2
29023,-29023,-1,7,12,-30,1
29023,-29023,-1,8,3,30,1
29023,-29023,-1,9,10,-23,2
29023,-29023,-1,10,23,-249,2
29023,-29023,-1,11,25,291,2
29023,-29023,-1,12,7,-241,1
29023,-29023,-1,13,18,-291,2
29023,-29023,-1,14,13,-343,2
29023,-29023,-1,15,27,-343,2
29023,-29023,-1,16,4,-291,2
29023,-29023,-1,17,21,-241,1
29023,-29023,-1,18,11,291,2
29023,-29023,-1,19,9,-249,2
29023,-29023,-1,20,24,-23,2
29023,-29023,-1,21,17,30,1
29023,-29023,-1,22,26,-30,1
29023,-29023,-1,23,20,249,2
29023,-29023,-1,24,8,241,1
29023,-29023,-1,25,16,343,2
29023,-29023,-1,26,19,23,2
29023,-29023,-1,27,15,-226,1
29023,-29023,-1,28,14,226,1
