cycle255-floating-screen-checkpoint-v1
index	a	sigma	epsilon	T	q0	M	alpha	initial_l3	final_l3	forward_ratio	reverse_ratio	both_directions_ratio	energy_drift	enstrophy_drift
1	1,-2,-2,-2,-2	1/16	1/256	1/16	5/4	87/32	87/32	0.15538549488391834	0.15537601144464153	0.99993896831049833	1.0000624547202877	1.0000624547202877	3.3306690738754696e-16	2.2204460492503131e-16
33	1,-2,-2,-2,-2	1/16	1/512	1/16	5/4	87/32	87/32	0.15538549487425507	0.15537601143504973	0.99993896831095452	1.0000624547198582	1.0000624547198582	8.8817841970012523e-16	9.9920072216264089e-16
65	1,-2,-2,-2,-2	1/16	1/1024	1/16	5/4	87/32	87/32	0.15538549486942332	0.15537601143025354	0.99993896831118145	1.0000624547196435	1.0000624547196435	3.3306690738754696e-16	7.7715611723760958e-16
97	1,-2,-2,-2,-2	1/24	1/256	1/16	5/4	87/32	87/32	0.15538549486701012	0.15537601142785773	0.99993896831129248	1.0000624547195354	1.0000624547195354	4.4408920985006262e-16	9.9920072216264089e-16
129	1,-2,-2,-2,-2	1/24	1/512	1/16	5/4	87/32	87/32	0.15538549486580092	0.15537601142665775	0.99993896831135132	1.0000624547194825	1.0000624547194825	4.4408920985006262e-16	1.9984014443252818e-15
161	1,-2,-2,-2,-2	1/24	1/1024	1/16	5/4	87/32	87/32	0.15538549486519618	0.15537601142605759	0.99993896831138052	1.0000624547194568	1.0000624547194568	4.4408920985006262e-16	1.7763568394002505e-15
193	1,-2,-2,-2,-1	1/16	1/256	1/16	9/8	45/32	45/32	0.12622166715812758	0.12621373111387932	0.99993712613351626	1.0000637034870516	1.0000637034870516	1.1102230246251565e-15	1.3322676295501878e-15
225	1,-2,-2,-2,-1	1/16	1/512	1/16	9/8	45/32	45/32	0.12622166714540037	0.12621373110116557	0.99993712613361652	1.000063703486985	1.000063703486985	6.6613381477509392e-16	8.8817841970012523e-16
257	1,-2,-2,-2,-1	1/16	1/1024	1/16	9/8	45/32	45/32	0.1262216671390369	0.12621373109480863	0.99993712613366503	1.0000637034869528	1.0000637034869528	1.5543122344752192e-15	4.4408920985006262e-16
289	1,-2,-2,-2,-1	1/24	1/256	1/16	9/8	45/32	45/32	0.12622166713591421	0.1262137310916876	0.99993712613367669	1.0000637034869464	1.0000637034869464	6.6613381477509392e-16	6.6613381477509392e-16
321	1,-2,-2,-2,-1	1/24	1/512	1/16	9/8	45/32	45/32	0.12622166713429389	0.12621373109006956	0.9999371261336939	1.0000637034869311	1.0000637034869311	1.5543122344752192e-15	4.4408920985006262e-16
353	1,-2,-2,-2,-1	1/24	1/1024	1/16	9/8	45/32	45/32	0.12622166713348357	0.12621373108926068	0.999937126133705	1.000063703486926	1.000063703486926	8.8817841970012523e-16	6.6613381477509392e-16
385	1,-2,-2,-2,0	1/16	1/256	1/16	17/16	51/64	51/64	0.11559844773154428	0.11559832360315429	0.9999989262105814	1.0000012412032571	1.0000012412032571	1.6653345369377348e-15	1.2212453270876722e-15
417	1,-2,-2,-2,0	1/16	1/512	1/16	17/16	51/64	51/64	0.11559844771154679	0.11559832358308282	0.99999892620994124	1.0000012412039359	1.0000012412039359	7.7715611723760958e-16	4.4408920985006262e-16
449	1,-2,-2,-2,0	1/16	1/1024	1/16	17/16	51/64	51/64	0.11559844770154801	0.11559832357304722	0.99999892620962261	1.0000012412042749	1.0000012412042749	4.4408920985006262e-16	6.6613381477509392e-16
481	1,-2,-2,-2,0	1/24	1/256	1/16	17/16	51/64	51/64	0.11559844769679468	0.11559832356827253	0.99999892620943764	1.0000012412044694	1.0000012412044694	3.3306690738754696e-16	8.8817841970012523e-16
513	1,-2,-2,-2,0	1/24	1/512	1/16	17/16	51/64	51/64	0.115598447694172	0.11559832356564213	0.99999892620937092	1.000001241204542	1.000001241204542	4.4408920985006262e-16	6.6613381477509392e-16
545	1,-2,-2,-2,0	1/24	1/1024	1/16	17/16	51/64	51/64	0.11559844769286064	0.11559832356432689	0.99999892620933739	1.000001241204578	1.000001241204578	7.7715611723760958e-16	1.2212453270876722e-15
577	1,-2,-2,-2,1	1/16	1/256	1/16	9/8	45/32	45/32	0.12879633056480436	0.12880321828004582	1.0000534775735554	0.99994649714282147	1.0000534775735554	1.1102230246251565e-15	4.4408920985006262e-16
609	1,-2,-2,-2,1	1/16	1/512	1/16	9/8	45/32	45/32	0.12879633054349823	0.12880321825868041	1.000053477573104	0.99994649714330375	1.000053477573104	1.7763568394002505e-15	1.4432899320127035e-15
641	1,-2,-2,-2,1	1/16	1/1024	1/16	9/8	45/32	45/32	0.12879633053284542	0.12880321824799748	1.0000534775728747	0.99994649714354367	1.0000534775728747	2.2204460492503131e-16	6.6613381477509392e-16
673	1,-2,-2,-2,1	1/24	1/256	1/16	9/8	45/32	45/32	0.12879633052783054	0.12880321824296517	1.0000534775727414	0.99994649714368622	1.0000534775727414	5.5511151231257827e-16	8.8817841970012523e-16
705	1,-2,-2,-2,1	1/24	1/512	1/16	9/8	45/32	45/32	0.12879633052501147	0.12880321824013985	1.0000534775726941	0.99994649714373518	1.0000534775726941	1.1102230246251565e-15	1.4432899320127035e-15
737	1,-2,-2,-2,1	1/24	1/1024	1/16	9/8	45/32	45/32	0.12879633052360182	0.12880321823872729	1.0000534775726722	0.99994649714376027	1.0000534775726722	6.6613381477509392e-16	4.4408920985006262e-16
769	1,-2,-2,-2,2	1/16	1/256	1/16	5/4	87/32	87/32	0.15819319216063749	0.15820112706081182	1.0000501595553257	0.99995071413692305	1.0000501595553257	2.2204460492503131e-15	8.8817841970012523e-16
801	1,-2,-2,-2,2	1/16	1/512	1/16	5/4	87/32	87/32	0.15819319214278657	0.15820112704294775	1.0000501595552482	0.99995071413702374	1.0000501595552482	0	2.2204460492503131e-15
833	1,-2,-2,-2,2	1/16	1/1024	1/16	5/4	87/32	87/32	0.15819319213386121	0.15820112703401573	1.0000501595552089	0.99995071413707237	1.0000501595552089	2.2204460492503131e-16	1.9984014443252818e-15
865	1,-2,-2,-2,2	1/24	1/256	1/16	5/4	87/32	87/32	0.15819319212961763	0.15820112702976749	1.0000501595551807	0.9999507141371119	1.0000501595551807	8.8817841970012523e-16	4.4408920985006262e-16
897	1,-2,-2,-2,2	1/24	1/512	1/16	5/4	87/32	87/32	0.15819319212727675	0.15820112702742534	1.0000501595551734	0.99995071413711722	1.0000501595551734	8.8817841970012523e-16	1.2212453270876722e-15
929	1,-2,-2,-2,2	1/24	1/1024	1/16	5/4	87/32	87/32	0.15819319212610627	0.1582011270262545	1.0000501595551716	0.99995071413711878	1.0000501595551716	2.2204460492503131e-16	2.2204460492503131e-15
961	1,-2,-2,-1,-2	1/16	1/256	1/16	9/8	27/16	27/16	0.14076111486140708	0.14075555265421799	0.99996048477454469	1.000040409750051	1.000040409750051	1.5543122344752192e-15	7.7715611723760958e-16
993	1,-2,-2,-1,-2	1/16	1/512	1/16	9/8	27/16	27/16	0.14076111485348872	0.14075555264639608	0.9999604847752277	1.0000404097493898	1.0000404097493898	1.9984014443252818e-15	1.7763568394002505e-15
1025	1,-2,-2,-1,-2	1/16	1/1024	1/16	9/8	27/16	27/16	0.14076111484952961	0.14075555264248485	0.99996048477556676	1.0000404097490574	1.0000404097490574	1.4432899320127035e-15	5.5511151231257827e-16
1057	1,-2,-2,-1,-2	1/24	1/256	1/16	9/8	27/16	27/16	0.14076111484755105	0.14075555264053011	0.9999604847757354	1.0000404097488946	1.0000404097488946	1.7763568394002505e-15	1.2212453270876722e-15
1089	1,-2,-2,-1,-2	1/24	1/512	1/16	9/8	27/16	27/16	0.14076111484656076	0.14075555263955181	0.99996048477582022	1.0000404097488116	1.0000404097488116	5.5511151231257827e-16	9.9920072216264089e-16
1121	1,-2,-2,-1,-2	1/24	1/1024	1/16	9/8	27/16	27/16	0.14076111484606565	0.14075555263906286	0.99996048477586386	1.0000404097487681	1.0000404097487681	1.4432899320127035e-15	9.9920072216264089e-16
1153	1,-2,-2,-1,-1	1/16	1/256	1/16	9/8	19/16	19/16	0.10794419701007189	0.10793962381768389	0.99995763373562752	1.0000429283738741	1.0000429283738741	8.8817841970012523e-16	5.5511151231257827e-16
1185	1,-2,-2,-1,-1	1/16	1/512	1/16	9/8	19/16	19/16	0.10794419700179937	0.10793962380946749	0.99995763373614421	1.0000429283733709	1.0000429283733709	4.4408920985006262e-16	2.2204460492503131e-16
1217	1,-2,-2,-1,-1	1/16	1/1024	1/16	9/8	19/16	19/16	0.10794419699766299	0.10793962380535944	0.99995763373640512	1.0000429283731245	1.0000429283731245	3.3306690738754696e-16	1.1102230246251565e-15
1249	1,-2,-2,-1,-1	1/24	1/256	1/16	9/8	19/16	19/16	0.1079441969956334	0.10793962380334331	0.99995763373652891	1.0000429283729992	1.0000429283729992	1.2212453270876722e-15	3.3306690738754696e-16
1281	1,-2,-2,-1,-1	1/24	1/512	1/16	9/8	19/16	19/16	0.10794419699458009	0.10793962380229719	0.99995763373659508	1.0000429283729353	1.0000429283729353	9.9920072216264089e-16	1.5543122344752192e-15
1313	1,-2,-2,-1,-1	1/24	1/1024	1/16	9/8	19/16	19/16	0.10794419699405353	0.10793962380177421	0.99995763373662816	1.0000429283729029	1.0000429283729029	6.6613381477509392e-16	4.4408920985006262e-16
1345	1,-2,-2,-1,0	1/16	1/256	1/16	17/16	39/64	39/64	0.094503583646444109	0.094504412209302585	1.0000087675284524	0.99999128392485648	1.0000087675284524	8.8817841970012523e-16	7.7715611723760958e-16
1347	1,-2,-2,-1,0	1/16	1/256	3/16	5/4	57/64	57/64	0.094503583646444109	0.094506084455652908	1.000026462585992	0.99997400049233631	1.000026462585992	1.8873791418627661e-15	1.3322676295501878e-15
1377	1,-2,-2,-1,0	1/16	1/512	1/16	17/16	39/64	39/64	0.094503583629181001	0.094504412191995832	1.0000087675279923	0.99999128392533898	1.0000087675279923	2.2204460492503131e-16	6.6613381477509392e-16
1379	1,-2,-2,-1,0	1/16	1/512	3/16	5/4	57/64	57/64	0.094503583629181001	0.094506084438264387	1.0000264625846698	0.99997400049384255	1.0000264625846698	2.2204460492503131e-15	5.5511151231257827e-16
1409	1,-2,-2,-1,0	1/16	1/1024	1/16	17/16	39/64	39/64	0.094503583620549489	0.094504412183342351	1.0000087675277605	0.99999128392558057	1.0000087675277605	8.8817841970012523e-16	2.1094237467877974e-15
1411	1,-2,-2,-1,0	1/16	1/1024	3/16	5/4	57/64	57/64	0.094503583620549489	0.094506084429570258	1.0000264625840096	0.99997400049459695	1.0000264625840096	1.5543122344752192e-15	1.5543122344752192e-15
1441	1,-2,-2,-1,0	1/24	1/256	1/16	17/16	39/64	39/64	0.094503583616488918	0.094504412179270289	1.0000087675276392	0.9999912839257048	1.0000087675276392	8.8817841970012523e-16	8.8817841970012523e-16
1443	1,-2,-2,-1,0	1/24	1/256	3/16	5/4	57/64	57/64	0.094503583616488918	0.09450608442547663	1.000026462583661	0.9999740004949873	1.000026462583661	6.6613381477509392e-16	1.5543122344752192e-15
1473	1,-2,-2,-1,0	1/24	1/512	1/16	17/16	39/64	39/64	0.094503583614203496	0.094504412176979746	1.0000087675275853	0.99999128392576186	1.0000087675275853	3.3306690738754696e-16	8.8817841970012523e-16
1475	1,-2,-2,-1,0	1/24	1/512	3/16	5/4	57/64	57/64	0.094503583614203496	0.09450608442317622	1.0000264625835029	0.99997400049516749	1.0000264625835029	1.5543122344752192e-15	1.6653345369377348e-15
1505	1,-2,-2,-1,0	1/24	1/1024	1/16	17/16	39/64	39/64	0.094503583613060771	0.094504412175834343	1.0000087675275571	0.99999128392579084	1.0000087675275571	4.4408920985006262e-16	5.5511151231257827e-16
1507	1,-2,-2,-1,0	1/24	1/1024	3/16	5/4	57/64	57/64	0.094503583613060771	0.09450608442202614	1.0000264625834254	0.99997400049525764	1.0000264625834254	1.2212453270876722e-15	8.8817841970012523e-16
1537	1,-2,-2,-1,1	1/16	1/256	1/16	9/8	19/16	19/16	0.10930091439953947	0.10930587371191808	1.0000453730182026	0.99995445502400393	1.0000453730182026	8.8817841970012523e-16	9.9920072216264089e-16
1569	1,-2,-2,-1,1	1/16	1/512	1/16	9/8	19/16	19/16	0.10930091437686604	0.10930587368919301	1.0000453730177394	0.99995445502448754	1.0000453730177394	5.5511151231257827e-16	7.7715611723760958e-16
1601	1,-2,-2,-1,1	1/16	1/1024	1/16	9/8	19/16	19/16	0.10930091436552927	0.10930587367783054	1.0000453730175092	0.99995445502472946	1.0000453730175092	1.5543122344752192e-15	4.4408920985006262e-16
1633	1,-2,-2,-1,1	1/24	1/256	1/16	9/8	19/16	19/16	0.10930091436016698	0.10930587367245456	1.0000453730173862	0.99995445502485469	1.0000453730173862	1.2212453270876722e-15	3.3306690738754696e-16
1665	1,-2,-2,-1,1	1/24	1/512	1/16	9/8	19/16	19/16	0.10930091435717974	0.10930587366946136	1.0000453730173329	0.99995445502491087	1.0000453730173329	8.8817841970012523e-16	5.5511151231257827e-16
1697	1,-2,-2,-1,1	1/24	1/1024	1/16	9/8	19/16	19/16	0.10930091435568627	0.1093058736679646	1.0000453730173033	0.99995445502493996	1.0000453730173033	6.6613381477509392e-16	2.2204460492503131e-16
1729	1,-2,-2,-1,2	1/16	1/256	1/16	9/8	27/16	27/16	0.14202868179342562	0.14203338108282218	1.0000330869042593	0.99996737485657949	1.0000330869042593	1.4432899320127035e-15	1.2212453270876722e-15
1761	1,-2,-2,-1,2	1/16	1/512	1/16	9/8	27/16	27/16	0.14202868177308814	0.14203338106247976	1.0000330869042291	0.9999673748566319	1.0000330869042291	2.2204460492503131e-15	1.3322676295501878e-15
1793	1,-2,-2,-1,2	1/16	1/1024	1/16	9/8	27/16	27/16	0.14202868176291933	0.14203338105230862	1.0000330869042151	0.99996737485665921	1.0000330869042151	1.4432899320127035e-15	1.1102230246251565e-15
1825	1,-2,-2,-1,2	1/24	1/256	1/16	9/8	27/16	27/16	0.14202868175804148	0.14203338104742944	1.0000330869042069	0.9999673748566742	1.0000330869042069	7.7715611723760958e-16	8.8817841970012523e-16
1857	1,-2,-2,-1,2	1/24	1/512	1/16	9/8	27/16	27/16	0.14202868175539632	0.1420333810447835	1.000033086904202	0.99996737485667664	1.000033086904202	9.9920072216264089e-16	2.2204460492503131e-16
1889	1,-2,-2,-1,2	1/24	1/1024	1/16	9/8	27/16	27/16	0.14202868175407352	0.14203338104346061	1.0000330869042018	0.99996737485667964	1.0000330869042018	1.9984014443252818e-15	1.5543122344752192e-15
1921	1,-2,-2,0,-2	1/16	1/256	1/16	9/8	47/32	47/32	0.13567416666336671	0.13567645617623716	1.0000168750833469	0.99998369824803179	1.0000168750833469	2.2204460492503131e-16	8.8817841970012523e-16
1953	1,-2,-2,0,-2	1/16	1/512	1/16	9/8	47/32	47/32	0.13567416665960544	0.13567645617258964	1.0000168750841856	0.99998369824720545	1.0000168750841856	1.1102230246251565e-15	5.5511151231257827e-16
1985	1,-2,-2,0,-2	1/16	1/1024	1/16	9/8	47/32	47/32	0.13567416665772478	0.13567645617076576	1.0000168750846044	0.99998369824679223	1.0000168750846044	1.1102230246251565e-15	4.4408920985006262e-16
2017	1,-2,-2,0,-2	1/24	1/256	1/16	9/8	47/32	47/32	0.13567416665673843	0.13567645616980664	1.0000168750848053	0.99998369824659405	1.0000168750848053	1.3322676295501878e-15	4.4408920985006262e-16
2049	1,-2,-2,0,-2	1/24	1/512	1/16	9/8	47/32	47/32	0.13567416665629148	0.13567645616937435	1.0000168750849134	0.99998369824648758	1.0000168750849134	4.4408920985006262e-16	1.5543122344752192e-15
2081	1,-2,-2,0,-2	1/24	1/1024	1/16	9/8	47/32	47/32	0.13567416665606785	0.13567645616915805	1.0000168750849674	0.99998369824643396	1.0000168750849674	6.6613381477509392e-16	8.8817841970012523e-16
2113	1,-2,-2,0,-1	1/16	1/256	1/16	17/16	13/16	13/16	0.10106150830085889	0.10106571276920631	1.0000416030635018	0.99995863638776483	1.0000416030635018	1.2212453270876722e-15	3.3306690738754696e-16
2145	1,-2,-2,0,-1	1/16	1/512	1/16	17/16	13/16	13/16	0.10106150830557793	0.10106571277401774	1.0000416030644139	0.99995863638685611	1.0000416030644139	7.7715611723760958e-16	3.3306690738754696e-16
2177	1,-2,-2,0,-1	1/16	1/1024	1/16	17/16	13/16	13/16	0.10106150830793736	0.10106571277642348	1.0000416030648713	0.99995863638640303	1.0000416030648713	9.9920072216264089e-16	8.8817841970012523e-16
2209	1,-2,-2,0,-1	1/24	1/256	1/16	17/16	13/16	13/16	0.10106150830902445	0.10106571277753271	1.0000416030650898	0.99995863638618454	1.0000416030650898	5.5511151231257827e-16	2.2204460492503131e-16
2241	1,-2,-2,0,-1	1/24	1/512	1/16	17/16	13/16	13/16	0.10106150830966071	0.10106571277818088	1.0000416030652075	0.99995863638606775	1.0000416030652075	4.4408920985006262e-16	9.9920072216264089e-16
2273	1,-2,-2,0,-1	1/24	1/1024	1/16	17/16	13/16	13/16	0.1010615083099789	0.1010657127785049	1.000041603065265	0.99995863638600779	1.000041603065265	4.4408920985006262e-16	8.8817841970012523e-16
2305	1,-2,-2,0,0	1/16	1/256	1/16	33/32	25/64	25/64	0.085354462039433227	0.085357113873026996	1.0000310684823079	0.99996897845982047	1.0000310684823079	1.3322676295501878e-15	1.4432899320127035e-15
2307	1,-2,-2,0,0	1/16	1/256	3/16	9/8	15/32	15/32	0.085354462039433227	0.085362429801847953	1.0000933491023709	0.99990707348596541	1.0000933491023709	3.1086244689504383e-15	3.7747582837255322e-15
2309	1,-2,-2,0,0	1/16	1/256	5/16	5/4	19/32	19/32	0.085354462039433227	0.08536776249758693	1.0001558261611156	0.99984534830190597	1.0001558261611156	1.8873791418627661e-15	1.7763568394002505e-15
2337	1,-2,-2,0,0	1/16	1/512	1/16	33/32	25/64	25/64	0.085354462040085163	0.085357113873616719	1.0000310684815787	0.99996897846055033	1.0000310684815787	0	6.6613381477509392e-16
2339	1,-2,-2,0,0	1/16	1/512	3/16	9/8	15/32	15/32	0.085354462040085163	0.085362429802312789	1.000093349100178	0.99990707348814678	1.000093349100178	1.4432899320127035e-15	9.9920072216264089e-16
