start,worst_stop,worst_half_surplus,first_recovery,recovery_length
2,3,[-0.2163669852151686212562080999600917448073 +/- 4.51e-41],6,4
3,4,[0.09396284862302250949987833114591159487619 +/- 7.19e-43],4,1
4,5,[0.03464181992519313658423491636355869036390 +/- 3.62e-42],5,1
5,6,[0.09177377691654590289581804988715291121360 +/- 3.20e-42],6,1
6,7,[0.01055168517116157038720782472177437809700 +/- 3.41e-42],7,1
7,8,[0.04171420067753639388152958604729739827727 +/- 2.13e-42],8,1
8,9,[0.03061053771549523595887365347894970999337 +/- 3.83e-44],9,1
9,10,[0.02343153373183834539548029259787935086300 +/- 2.81e-42],10,1
10,11,[0.003458585204713878650626769498767706581050 +/- 1.36e-44],11,1
11,12,[0.01510714942281986933800502780545078078992 +/- 4.15e-42],12,1
12,13,[0.01251724581258946990399214599666574644071 +/- 3.76e-42],13,1
13,14,[0.01895072236354159205151570611723105014649 +/- 3.76e-42],14,1
14,15,[0.009298486991922791810412437294257284187696 +/- 4.48e-43],15,1
15,16,[0.002162974970174448976549547634152420798294 +/- 4.57e-43],16,1
16,17,[0.001803329985619811148974878211413992244799 +/- 3.75e-43],17,1
17,18,[0.006146717410362573434113895264937362171046 +/- 3.56e-44],18,1
18,19,[0.005466028795595418932648293740767236686520 +/- 2.11e-43],19,1
19,20,[0.008444661155744673265422482841662720621684 +/- 4.75e-43],20,1
20,21,[0.007592739302762510238995046536167833953628 +/- 3.68e-43],21,1
21,22,[0.004156272464161289994254735444745954989188 +/- 3.25e-43],22,1
22,23,[0.001324623045973100494440244291479822101476 +/- 1.58e-44],23,1
23,24,[0.003455279121865700662839959137890987681795 +/- 4.33e-43],24,1
24,25,[0.003174051812936849549534312037154465938159 +/- 3.76e-43],25,1
25,26,[0.002926790045917572477601046616510793280200 +/- 3.30e-43],26,1
26,27,[0.001012644205711537152705468533088987130112 +/- 2.35e-43],27,1
27,28,[0.0009239023109938239380372280592882322587134 +/- 3.18e-44],28,1
28,29,[0.0008454305806953079415767282306769070118163 +/- 3.63e-44],29,1
29,30,[0.002152531379917396423498174517558661552632 +/- 3.57e-43],30,1
30,31,[0.003283375396224852821445734278371644774816 +/- 4.88e-43],31,1
31,32,[0.004241301938400431653657573476367648723763 +/- 1.45e-43],32,1
32,33,[0.003972975644106183296815810769154557227277 +/- 3.06e-43],33,1
33,34,[0.002765652289269575240004987874026966867162 +/- 3.07e-43],34,1
34,35,[0.001712016749119905718738703127256901354986 +/- 4.36e-43],35,1
35,36,[0.0007751932774604110038557490593908745689173 +/- 1.35e-44],36,1
36,37,[0.0007290323211736169474506918396094083180160 +/- 1.92e-44],37,1
37,38,[0.001448684210946561305763752994313712918451 +/- 4.08e-43],38,1
38,41,[0.0005554639357569075205029025766887161322111 +/- 1.21e-44],39,1
39,41,[-0.0001097378074045142273203043280017595363696 +/- 4.60e-44],42,3
40,41,[-6.065979627045152315865392723233655756566e-5 +/- 1.57e-45],42,2
41,42,[0.0005560768957400678160877914145240989254079 +/- 1.55e-46],42,1
42,43,[0.001122309509284818090361167448282865985883 +/- 3.73e-43],43,1
43,44,[0.001635783371576117923225266398288101823538 +/- 1.13e-43],44,1
44,45,[0.001566416074197250611013436711574469275607 +/- 4.60e-43],45,1
45,46,[0.001501554799231792155092935806691602046820 +/- 1.04e-43],46,1
46,47,[0.0009692262655664641028312208326364559608678 +/- 6.42e-45],47,1
47,48,[0.001382731319901055605113595899287006710884 +/- 1.65e-43],48,1
48,49,[0.001329305150262928208063717013653070519373 +/- 3.18e-43],49,1
49,50,[0.001279052113874316280398397546820337289865 +/- 1.05e-43],50,1
50,51,[0.001231721287138716764590853822839735898019 +/- 2.79e-43],51,1
51,52,[0.0008199164037944327316536462783636823620869 +/- 1.65e-45],52,1
52,53,[0.0007910021758954270985241816341962497317836 +/- 4.56e-44],53,1
53,54,[0.001102564115481993193376884482248313306244 +/- 2.91e-43],54,1
54,55,[0.001064944732664217322838164434145620491517 +/- 1.69e-43],55,1
55,56,[0.0007225684635754764945106123981859016048299 +/- 1.86e-44],56,1
56,57,[0.0006990754466753474867364181182444766231388 +/- 3.86e-45],57,1
57,58,[0.0003934126501033793083678616543367956039487 +/- 1.08e-44],58,1
58,59,[0.0001052315391756481815572554691845061858352 +/- 4.02e-44],59,1
59,60,[0.0003661889668586100427040854211164660745892 +/- 1.45e-45],60,1
60,61,[0.0003540056121802302100311656306006834194376 +/- 7.38e-45],61,1
61,62,[0.0005923013202798361752895712015758331686989 +/- 1.20e-44],62,1
62,63,[0.0003351495671418608508890221646912845333014 +/- 1.49e-44],63,1
63,64,[0.0003245450686673218884699126405665549709813 +/- 3.68e-44],64,1
64,65,[0.0003144344134391209136516983842422139401906 +/- 4.68e-44],65,1
65,66,[8.631551050509181849699680339680460109009e-5 +/- 5.38e-46],66,1
66,67,[0.0002945936543994258601583534352079244534269 +/- 2.34e-44],67,1
67,68,[0.0004926576786945007286717420679501814048697 +/- 3.25e-44],68,1
68,69,[0.0004796138732958536581911775211481491278767 +/- 1.89e-45],69,1
69,70,[0.0002739431605170670681994042165971513707983 +/- 3.55e-44],70,1
70,71,[0.0004544596104598308476020887176615694502182 +/- 2.52e-44],71,1
71,72,[0.0006252088054178891975527775089899648740303 +/- 3.21e-44],72,1
72,73,[0.0006095942854550487940489990497726432586480 +/- 2.15e-44],73,1
73,74,[0.0007644088460831025327971538218636919826219 +/- 2.32e-44],74,1
74,75,[0.0005818685152768484390091237313398718712830 +/- 1.63e-44],75,1
75,76,[0.0005679359768341212445626722245552268712247 +/- 3.29e-44],76,1
76,77,[0.0005545248430699445630833650261357546573362 +/- 1.14e-44],77,1
77,78,[0.0003932412906561377001356787554149757113294 +/- 2.13e-44],78,1
78,79,[0.0005289339349474950222200629094788253048101 +/- 4.22e-44],79,1
79,80,[0.0006573013760076921376740882117443798714721 +/- 4.84e-44],80,1
80,81,[0.0006420846045224357510182996186751607626751 +/- 4.18e-44],81,1
81,82,[0.0006274085839123891289235021313606575042931 +/- 1.11e-45],82,1
82,83,[0.0004865840108811204504004177672439505276184 +/- 4.11e-44],83,1
83,84,[0.0005993848117402061314889390563384082212693 +/- 2.90e-44],84,1
84,85,[0.0005861898489323317511910787440403601661304 +/- 6.41e-45],85,1
85,86,[0.0004585897803102625062530974761298599709664 +/- 9.05e-45],86,1
86,87,[0.0003374137680281230278930190293923905813445 +/- 1.15e-44],87,1
87,88,[0.0002215522535118994567888455583239206327711 +/- 2.59e-44],88,1
88,89,[0.0002168018089411538819368681124761842581759 +/- 1.23e-44],89,1
89,90,[0.0003167117004808099973754051067148417042162 +/- 4.67e-44],90,1
90,91,[0.0003104836717020453785860181198998222169663 +/- 1.75e-45],91,1
91,92,[0.0002056220954434610091300070462064386817317 +/- 3.97e-44],92,1
92,101,[0.0001374652562123700248335986476526484953180 +/- 1.33e-44],93,1
93,101,[-6.395083154636513166775711365367133209801e-5 +/- 3.21e-45],94,1
94,101,[-0.0001668273775901227981390095212962161652208 +/- 1.91e-44],95,1
95,101,[-0.0001740937006704931758058895284638583774730 +/- 1.59e-44],103,8
96,101,[-8.799474190417853909217892025544839425121e-5 +/- 1.17e-45],103,7
97,101,[-9.556617563167081218505536263546850766772e-7 +/- 2.79e-47],98,1
98,101,[-2.859472603774581692805962109803220321909e-6 +/- 3.83e-46],99,1
99,101,[-3.295547071514467995362093085147096483542e-6 +/- 4.06e-46],102,3
100,101,[-2.323439356068641117273700009337765391276e-6 +/- 3.88e-46],102,2
101,102,[8.069897149042369791878983303438874603339e-5 +/- 1.66e-45],102,1
102,103,[0.0001613648559962033846070399738434118015054 +/- 1.91e-44],103,1
103,104,[0.0002394678536750252904306142991150371601617 +/- 1.07e-44],104,1
104,105,[0.0002354068650853968336084762810518501216135 +/- 3.72e-44],105,1
105,106,[0.0003090007633422204557374915439825799996760 +/- 9.37e-45],106,1
106,107,[0.0002282391588414497390051426831667802520278 +/- 1.15e-46],107,1
107,108,[0.0002986447789910631701658010765525310624035 +/- 1.03e-44],108,1
108,109,[0.0002937874983973295415001161045190406264499 +/- 1.87e-44],109,1
109,110,[0.0003598957000368914022774136398868804443227 +/- 8.55e-45],110,1
110,111,[0.0004230285635377710917535071476738254075643 +/- 3.67e-45],111,1
111,112,[0.0003487057391083928311622383834385072277439 +/- 3.84e-44],112,1
112,113,[0.0003430927842929948293905996501794680800208 +/- 3.75e-44],113,1
113,114,[0.0004019106379560311646760374934397518246521 +/- 2.02e-44],114,1
114,115,[0.0004578465169347558049721418932720141870229 +/- 4.39e-44],115,1
115,116,[0.0003893279029627207824722413308602455992605 +/- 9.54e-45],116,1
116,117,[0.0003830401281255182191567374733978682608073 +/- 1.31e-44],117,1
117,118,[0.0003769066162190516773920803763767409806009 +/- 2.43e-44],118,1
118,119,[0.0003146718807690229728549379778415247659281 +/- 3.60e-44],119,1
119,120,[0.0002548397657011886359097392712393956596711 +/- 2.79e-44],120,1
120,121,[0.0002511140625238375328655615054076250328715 +/- 3.69e-44],121,1
121,122,[0.0002474743006283067343352854304712925935774 +/- 4.85e-44],122,1
122,123,[0.0001919791872344452651881555100692266713831 +/- 1.84e-44],123,1
123,124,[0.0001381875600634314045758138278990230898166 +/- 2.33e-44],124,1
124,125,[0.0001361191427834100483824986728269566414527 +/- 3.41e-44],125,1
125,126,[0.0001340979847579079811703534348854665876724 +/- 2.63e-44],126,1
126,127,[0.0001321226325394713086336064560641988187276 +/- 3.66e-44],127,1
127,128,[0.0001785325206159317230729705757473605093239 +/- 6.81e-45],128,1
128,129,[0.0001760868013787610044516675729540240565649 +/- 2.41e-44],129,1
129,130,[0.0001270507815427806059330872244476988224479 +/- 9.35e-45],130,1
130,131,[0.0001712526230074954485569902737021739547788 +/- 3.11e-44],131,1
131,132,[0.0002142121814696532614634764967020100314273 +/- 9.52e-45],132,1
132,133,[0.0002113720986010349585168489327379325083779 +/- 3.13e-44],133,1
133,134,[0.0001651421731552588054452140947522144418000 +/- 7.17e-45],134,1
