n,P_n,log_n_P_n,weight,decrement,kappa_n,kappa_minus_half,half_surplus
2,[2.106230071704746901741123202564027986596 +/- 3.17e-40],[1.459927435812716756760190139648429539430 +/- 1.78e-40],[0.3690702464285425629004728856572391457004 +/- 1.44e-41],[0.5609798663841091901235250840862522567225 +/- 3.31e-41],[0.3608298311300643367263333383808590643203 +/- 7.86e-42],[-0.1391701688699356632736666616191409356797 +/- 7.86e-42],[-0.2163669852151686212562080999600917448073 +/- 4.51e-41]
3,[1.545250205320637711617598118477775729874 +/- 1.51e-40],[1.697630864632172207784504250943681803365 +/- 1.54e-40],[0.2075187496394219092731305280260917456201 +/- 7.21e-42],[0.4146312391112212278878041862487419283015 +/- 1.14e-41],[0.6465109306220822270334045142434527854787 +/- 3.02e-42],[0.1465109306220822270334045142434527854787 +/- 3.02e-42],[0.09396284862302250949987833114591159487619 +/- 7.19e-43]
4,[1.130618966209416483729793932229033801572 +/- 3.62e-40],[1.567370697431314224019890735259688233981 +/- 4.35e-40],[0.1386468838532138986597868624720687358604 +/- 1.62e-41],[0.1913986164154708733604251220547033314769 +/- 2.89e-41],[0.6104954320986703371933818070870285177538 +/- 4.83e-41],[0.1104954320986703371933818070870285177538 +/- 4.83e-41],[0.03464181992519313658423491636355869036390 +/- 3.62e-42]
5,[0.9392203497939456103693688101743304700955 +/- 9.77e-42],[1.511616839087993359072650490096577552667 +/- 1.59e-40],[0.1017555982960728269267670419135313277494 +/- 8.65e-42],[0.1873447055416756393290686338848714661458 +/- 4.86e-41],[0.9801343789204042645777619942139612975113 +/- 3.21e-41],[0.4801343789204042645777619942139612975113 +/- 3.21e-41],[0.09177377691654590289581804988715291121360 +/- 3.20e-42]
6,[0.7518756442522699710403001762894590039496 +/- 4.18e-41],[1.347180305270949146016646986987476070063 +/- 2.34e-40],[0.07921777883839820968127275482380093455901 +/- 4.93e-42],[0.07011360367151606299320143248976723216475 +/- 4.12e-42],[0.5885774454284810376640523011159530422845 +/- 4.30e-41],[0.08857744542848103766405230111595304228454 +/- 2.94e-42],[0.01055168517116157038720782472177437809700 +/- 3.41e-42]
7,[0.6817620405807539080470987437996917717849 +/- 1.24e-41],[1.326647674006749395500153334961325023011 +/- 5.12e-41],[0.06421502598079863085267689425605639711966 +/- 2.22e-42],[0.08549356782615179657455230982167235408421 +/- 2.81e-42],[0.9764139296021742147247650449432337826724 +/- 1.75e-41],[0.4764139296021742147247650449432337826724 +/- 1.75e-41],[0.04171420067753639388152958604729739827727 +/- 2.13e-42]
8,[0.5962684727546021114725464339780194177007 +/- 1.96e-41],[1.239905432239911060184671985372492180003 +/- 3.07e-40],[0.05360536964281384435070932848585871855062 +/- 1.54e-42],[0.06257372960386175782905060608521470396889 +/- 2.04e-42],[0.9788404396908244248990315821499416432743 +/- 3.24e-41],[0.4788404396908244248990315821499416432743 +/- 3.24e-41],[0.03061053771549523595887365347894970999337 +/- 3.83e-44]
9,[0.5336947431507403536434958278928047137318 +/- 7.56e-42],[1.172647206445947637911831794189352001331 +/- 3.32e-40],[0.04575749056067512540994419348976938159974 +/- 2.28e-42],[0.04785206590384028266658831917999718830720 +/- 3.83e-42],[0.9797506779705342487903526027252177521043 +/- 2.98e-41],[0.4797506779705342487903526027252177521043 +/- 2.98e-41],[0.02343153373183834539548029259787935086300 +/- 2.81e-42]
10,[0.4858426772469000709769075087128075254246 +/- 1.14e-41],[1.118694106169029523074196140270277078314 +/- 3.23e-40],[0.03974743221087250259388835498073961032372 +/- 3.19e-43],[0.02276958408373384765054517235209739452852 +/- 4.91e-42],[0.5895496195298158874160794698768666749079 +/- 3.13e-41],[0.08954961952981588741607946987686667490793 +/- 1.30e-42],[0.003458585204713878650626769498767706581050 +/- 1.36e-44]
11,[0.4630730931631662233263623363607101308961 +/- 3.63e-41],[1.110400781056075728793504462047620068149 +/- 1.63e-40],[0.03501595401865624914188699375274508741819 +/- 2.23e-42],[0.03132209556029821930531093413026266793315 +/- 3.91e-42],[0.9658402591884662759549156886110218056361 +/- 1.67e-41],[0.4658402591884662759549156886110218056361 +/- 1.67e-41],[0.01510714942281986933800502780545078078992 +/- 4.15e-42]
12,[0.4317509976028680040210514022304474629629 +/- 1.77e-41],[1.072860924995969684714315906510153916937 +/- 3.95e-40],[0.03120635011396583642100961517775083429608 +/- 6.68e-43],[0.02599061860583859340869065285196383658151 +/- 1.99e-42],[0.9645179052293897753690781108708923314947 +/- 3.65e-41],[0.4645179052293897753690781108708923314947 +/- 3.65e-41],[0.01251724581258946990399214599666574644071 +/- 3.76e-42]
13,[0.4057603789970294106123607493784836263814 +/- 9.61e-42],[1.040754823391780212602378672801537609760 +/- 6.51e-41],[0.02808122859707859747989842017896651616938 +/- 3.77e-42],[0.03034497232179442425808538044683749452501 +/- 2.99e-43],[1.331591479604834461277211734734498863616 +/- 4.89e-40],[0.8315914796048344612772117347344988636155 +/- 1.14e-41],[0.01895072236354159205151570611723105014649 +/- 3.76e-42]
14,[0.3754154066752349863542753689316461318564 +/- 6.98e-43],[0.9907427806367719765169032382711454093504 +/- 7.07e-43],[0.02547695440020664900620776365841239111162 +/- 2.24e-42],[0.01886292818892278838774945386663376639043 +/- 7.89e-43],[0.9860967201533621984535338747211403022809 +/- 4.00e-41],[0.4860967201533621984535338747211403022809 +/- 4.00e-41],[0.009298486991922791810412437294257284187696 +/- 4.48e-43]
