n,H_negative,mu,mertens,abs_mertens,mertens_d1,mertens_back4,mertens_forward4,mertens_back8,mertens_forward8,is_prime,omega,bigomega,is_squarefree,is_prime_power,prime_power_exponent,prime_gap,distance_prev_prime,distance_next_prime,squarefree_run_left,squarefree_run_right,squarefree_count_5,squarefree_count_9,prime_power_count_9,psi_bit_mass_d1,psi_bit_mass_back4,psi_bit_mass_forward4,psi_bit_curvature4
2,1,-1,0,0,-1,0,-3,0,-3,1,1,1,1,1,1,3,0,0,2,2,3,5,4,2,2,9,7
3,0,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,0,0,3,1,4,6,5,2,4,7,3
4,0,0,-1,1,0,-1,-1,-1,-1,0,1,2,0,1,2,2,1,1,0,0,4,6,6,2,6,8,2
5,0,-1,-2,2,-1,-3,-1,-2,-1,1,1,1,1,1,1,4,0,0,1,3,4,6,7,3,9,8,-1
6,0,1,-1,1,1,-1,0,-1,-1,0,2,2,1,0,0,2,1,1,2,2,3,6,7,0,7,7,0
7,0,-1,-2,2,-1,-1,0,-2,-1,1,1,1,1,1,1,6,0,0,3,1,3,6,7,3,8,7,-1
8,0,0,-2,2,0,-1,0,-2,1,0,1,3,0,1,3,4,1,3,0,0,3,5,6,2,8,8,0
9,0,0,-2,2,0,0,0,-3,1,0,1,2,0,1,2,4,2,2,0,0,3,6,6,2,7,6,-1
10,0,1,-1,1,1,0,-1,-1,0,0,2,2,1,0,0,4,3,1,1,2,2,6,5,0,7,8,1
11,0,-1,-2,2,-1,0,-1,-1,-1,1,1,1,1,1,1,6,0,0,2,1,3,6,5,4,8,8,0
12,0,0,-2,2,0,0,1,-1,-1,0,2,3,0,0,0,2,1,1,0,0,4,5,5,0,6,4,-2
13,0,-1,-3,3,-1,-1,1,-1,-1,1,1,1,1,1,1,6,0,0,1,3,4,6,5,4,8,6,-2
14,0,1,-2,2,1,-1,1,-1,1,0,2,2,1,0,0,4,1,3,2,2,3,6,4,0,8,7,-1
15,0,1,-1,1,1,1,0,1,1,0,2,2,1,0,0,4,2,2,3,1,4,6,5,0,4,7,3
16,0,0,-1,1,0,1,-2,1,-1,0,1,4,0,1,4,4,3,1,0,0,3,5,4,2,6,12,6
17,0,-1,-2,2,-1,1,-2,0,-1,1,1,1,1,1,1,6,0,0,1,1,3,6,4,5,7,10,3
18,0,0,-2,2,0,0,0,-1,0,0,2,3,0,0,0,2,1,1,0,0,2,6,3,0,7,5,-2
19,0,-1,-3,3,-1,-2,1,-1,1,1,1,1,1,1,1,6,0,0,1,1,3,6,4,5,12,5,-7
20,0,0,-3,3,0,-2,1,-1,2,0,2,3,0,0,0,4,1,3,0,0,3,5,4,0,10,5,-5
21,0,1,-2,2,1,0,1,1,2,0,2,2,1,0,0,4,2,2,1,3,4,5,4,0,5,5,0
22,0,1,-1,1,1,1,0,1,0,0,2,2,1,0,0,4,3,1,2,2,3,5,3,0,5,8,3
23,0,-1,-2,2,-1,1,0,-1,-2,1,1,1,1,1,1,10,0,0,3,1,3,5,4,5,5,8,3
24,0,0,-2,2,0,1,1,-1,-2,0,2,4,0,0,0,6,1,5,0,0,3,4,3,0,5,5,0
