[1/92] K16769 support=12 orbits=4183 residuals=993
[2/92] K16770 support=18 orbits=27456 residuals=7027
[3/92] K16771 support=18 orbits=7344 residuals=1616
[4/92] K16772 support=18 orbits=24624 residuals=6796
[5/92] K16773 support=18 orbits=43584 residuals=10285
[6/92] K16774 support=18 orbits=41088 residuals=8306
[7/92] K16775 support=18 orbits=25360 residuals=4478
[8/92] K16776 support=18 orbits=26128 residuals=4883
[9/92] K16777 support=18 orbits=74496 residuals=12614
[10/92] K16778 support=18 orbits=74496 residuals=17390
[11/92] K16779 support=18 orbits=147456 residuals=29427
[12/92] K16780 support=18 orbits=21600 residuals=3867
[13/92] K16781 support=18 orbits=75264 residuals=16283
[14/92] K16782 support=18 orbits=49920 residuals=14223
[15/92] K16783 support=18 orbits=46848 residuals=11115
[16/92] K16784 support=18 orbits=43008 residuals=10867
[17/92] K16785 support=18 orbits=132096 residuals=26926
[18/92] K16786 support=18 orbits=131584 residuals=25371
[19/92] K16787 support=18 orbits=11720 residuals=2191
[20/92] K16788 support=18 orbits=11618 residuals=2155
[21/92] K16789 support=18 orbits=66816 residuals=11020
[22/92] K16790 support=18 orbits=132096 residuals=25847
[23/92] K16791 support=18 orbits=33672 residuals=5304
[24/92] K16792 support=18 orbits=66816 residuals=10751
[25/92] K16793 support=18 orbits=131584 residuals=19810
[26/92] K16794 support=18 orbits=262144 residuals=47565
[27/92] K16795 support=18 orbits=66432 residuals=16918
[28/92] K16796 support=18 orbits=67072 residuals=16988
[29/92] K16797 support=18 orbits=66816 residuals=15174
[30/92] K16798 support=18 orbits=131584 residuals=20095
[31/92] K16799 support=18 orbits=82944 residuals=23135
[32/92] K16800 support=18 orbits=66816 residuals=15464
[33/92] K16801 support=18 orbits=74496 residuals=21841
[34/92] K16802 support=18 orbits=33672 residuals=5580
[35/92] K16803 support=18 orbits=163840 residuals=44344
[36/92] K16804 support=18 orbits=262144 residuals=62038
[37/92] K16805 support=18 orbits=44032 residuals=14096
[38/92] K16806 support=18 orbits=6456 residuals=952
[39/92] K16807 support=18 orbits=34752 residuals=5275
[40/92] K16808 support=18 orbits=68352 residuals=12393
[41/92] K16809 support=18 orbits=66816 residuals=8722
[42/92] K16810 support=18 orbits=131584 residuals=18446
[43/92] K16811 support=18 orbits=132096 residuals=25604
[44/92] K16812 support=18 orbits=131584 residuals=18613
[45/92] K16813 support=18 orbits=131584 residuals=27789
[46/92] K16814 support=18 orbits=139264 residuals=31445
[47/92] K16815 support=18 orbits=262144 residuals=48481
[48/92] K16816 support=18 orbits=131584 residuals=29103
[49/92] K16817 support=18 orbits=14376 residuals=4312
[50/92] K16818 support=18 orbits=163840 residuals=50021
[51/92] K16819 support=18 orbits=131584 residuals=29561
[52/92] K16820 support=18 orbits=262144 residuals=51571
[53/92] K16821 support=18 orbits=132096 residuals=33725
[54/92] K16822 support=18 orbits=262144 residuals=68134
[55/92] K16823 support=18 orbits=133120 residuals=28488
[56/92] K16824 support=18 orbits=26352 residuals=8288
[57/92] K16825 support=18 orbits=72192 residuals=16905
[58/92] K16826 support=18 orbits=133120 residuals=22878
[59/92] K16827 support=18 orbits=66816 residuals=9511
[60/92] K16828 support=18 orbits=87040 residuals=23003
[61/92] K16829 support=18 orbits=82432 residuals=20539
[62/92] K16830 support=18 orbits=33672 residuals=4530
[63/92] K16831 support=18 orbits=66432 residuals=14296
[64/92] K16832 support=18 orbits=132096 residuals=23171
[65/92] K16833 support=18 orbits=131584 residuals=28959
[66/92] K16834 support=18 orbits=82944 residuals=21581
[67/92] K16835 support=18 orbits=51520 residuals=17027
[68/92] K16836 support=18 orbits=43008 residuals=10282
[69/92] K16837 support=18 orbits=43008 residuals=12392
[70/92] K16838 support=18 orbits=11000 residuals=4137
[71/92] K16839 support=18 orbits=17226 residuals=2107
[72/92] K16840 support=18 orbits=131584 residuals=26568
[73/92] K16841 support=18 orbits=23224 residuals=3823
[74/92] K16842 support=18 orbits=68352 residuals=16938
[75/92] K16843 support=18 orbits=8240 residuals=1957
[76/92] K16844 support=18 orbits=46848 residuals=14451
[77/92] K16845 support=18 orbits=132096 residuals=23177
[78/92] K16846 support=18 orbits=17544 residuals=2572
[79/92] K16847 support=18 orbits=22668 residuals=4613
[80/92] K16848 support=18 orbits=15084 residuals=1864
[81/92] K16849 support=18 orbits=11592 residuals=3537
[82/92] K16850 support=18 orbits=21240 residuals=7063
[83/92] K16851 support=13 orbits=16092 residuals=3333
[84/92] K16852 support=13 orbits=31536 residuals=6519
[85/92] K16853 support=13 orbits=17280 residuals=3636
[86/92] K16854 support=13 orbits=31536 residuals=7159
[87/92] K16855 support=14 orbits=42336 residuals=7389
[88/92] K16856 support=14 orbits=6489 residuals=1165
[89/92] K16857 support=14 orbits=21456 residuals=4432
[90/92] K16858 support=14 orbits=41760 residuals=9132
[91/92] K16859 support=14 orbits=10806 residuals=1838
[92/92] K16860 support=14 orbits=43200 residuals=9494
order=12 kernels=92 physical=22026816 orbits=6949774
residuals=1485684 targets=28227996
raw_bytes=149601899 compressed_bytes=1746516 raw_sha256=345900d011627b30f74258aa7e21dcc51128c11ecafc1080d8121f6d8512e03b artifact_sha256=a32aa99dbe8dbc53e585286a2587a5c4b144c65ba006e7af141316ebf009d29a
full_theorem=false
